factor_name,factor_family,target_label,train_start,train_end,validation_start,validation_end,sample_filter,primary_group_count,robustness_group_count,status
indicator__inc_return,indicator,y_quarter_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
indicator__roa,indicator,y_quarter_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
indicator__net_profit_margin,indicator,y_quarter_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
indicator__expense_to_total_revenue,indicator,y_quarter_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
indicator__operation_profit_to_total_revenue,indicator,y_quarter_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
indicator__net_profit_to_total_revenue,indicator,y_quarter_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
indicator__ocf_to_revenue,indicator,y_quarter_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
indicator__inc_total_revenue_annual,indicator,y_quarter_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
indicator__inc_revenue_annual,indicator,y_quarter_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
indicator__inc_operation_profit_annual,indicator,y_quarter_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
indicator__inc_net_profit_annual,indicator,y_quarter_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
indicator__inc_net_profit_to_shareholders_annual,indicator,y_quarter_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
balance__cash_equivalents,balance,y_quarter_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
balance__deferred_tax_assets,balance,y_quarter_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
balance__lend_capital,balance,y_quarter_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
balance__paidin_capital,balance,y_quarter_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
