rebalance_date,code,y_quarter_avg_daily_return_close,y_year_avg_daily_return_close,improve__snapshot_delta__derived__log_total_assets,improve__season_yoy_delta__derived__log_total_assets,improve__snapshot_delta__indicator__roe,improve__season_yoy_delta__indicator__roe,improve__snapshot_delta__indicator__inc_net_profit_to_shareholders_annual,improve__season_yoy_delta__indicator__inc_net_profit_to_shareholders_annual,improve__annual_delta__bank_indicator__Nonperforming_loan_rate,improve__annual_delta__bank_indicator__non_performing_loan_provision_coverage,improve__annual_delta__bank_indicator__capital_adequacy_ratio,improve__annual_delta__bank_indicator__core_level_capital_adequacy_ratio,improve__annual_delta__bank_indicator__cost_to_income_ratio,improve__annual_delta__bank_indicator__deposit_loan_ratio,improve__annual_delta__bank_indicator__net_interest_margin,improve__annual_delta__bank_indicator__non_interest_income_ratio,improve__snapshot_delta__derived__staff_cash_to_operating_revenue,improve__season_yoy_delta__derived__staff_cash_to_operating_revenue,improve__snapshot_delta__derived__investment_income_to_operating_revenue,improve__season_yoy_delta__derived__investment_income_to_operating_revenue,improve__snapshot_delta__income__minority_profit,improve__season_yoy_delta__income__minority_profit,improve__snapshot_delta__indicator__eps,improve__season_yoy_delta__indicator__eps
2021-09-01,600036.XSHG,0.0015333673,-0.0018044146,0.02521368400000057,0.08308650600000078,-0.4700000000000002,-0.47,-63.37,-96.44,-0.08999999999999986,10.900000000000034,1.0,0.33999999999999986,1.2099999999999937,-3.343599999999995,-0.09999999999999964,0.4799999999999969,-0.0386775144,-0.0054917721,0.006098672400000005,0.0674752384,30000000.0,,-0.11420000000000008,-0.06529999999999997
2021-09-01,600919.XSHG,0.0005224523,0.0006038063,0.01918300690000052,0.1733791680000003,-0.17999999999999972,0.8499999999999996,-72.86,11.77,-0.05999999999999983,23.609999999999985,1.58,0.6600000000000001,-2.1799999999999997,6.039999999999992,0.20000000000000018,-14.311199999999996,-0.09743511009999999,-0.017458320100000008,0.040393191300000006,0.20187446299999998,-27396000.0,-5181000.0,-0.017100000000000004,0.2257
2021-09-01,600926.XSHG,0.0005840495,-0.0003380033,0.0,0.14435548939999876,0.0,0.20000000000000018,0.0,2.3600000000000003,-0.27,152.83000000000004,0.870000000000001,0.4499999999999993,-2.3599999999999994,1.6799999999999926,0.1299999999999999,-4.760000000000002,0.0,0.004718972000000016,0.0,-0.1076574941,,1873188.0,0.0,0.03829999999999997
2021-09-01,601009.XSHG,0.0014354968,0.0005680008,0.026896852100001922,0.07700178010000158,0.1200000000000001,-0.32999999999999985,-29.819999999999997,-7.189999999999998,0.020000000000000018,-25.970000000000027,1.7200000000000006,1.1000000000000014,1.0700000000000003,4.3999999999999915,0.3899999999999999,-2.8500000000000014,-0.08869567479999999,0.024567454099999997,0.1119905983,-0.0891922002,714000.0,76000000.0,0.025499999999999967,-0.015400000000000025
2021-09-01,601077.XSHG,-0.0007571486,-0.0001543873,0.02762592569999711,0.05681390839999878,-0.8500000000000001,-5.85,-437.22,-310.82000000000005,0.06000000000000005,-65.36000000000001,-0.6000000000000014,-0.4599999999999991,-1.4499999999999993,5.140000000000001,-0.08000000000000007,1.4289000000000005,-0.07911793520000002,0.002442140399999987,-0.014431548799999996,0.018603729199999995,-20555000.0,57000000.0,-0.06719999999999998,-1.0835000000000001
2021-09-01,601166.XSHG,-0.0005111894,-0.0004913391,0.01434764520000087,0.054323897499998,-1.2599999999999998,0.20999999999999996,-93.54,-1.3200000000000003,-0.29000000000000004,19.700000000000017,0.11000000000000121,-0.14000000000000057,-1.870000000000001,6.409100000000009,0.10999999999999988,-3.2012,-0.055223952199999995,0.007680532399999995,-0.11276921949999999,0.022212229300000004,78000000.0,113000000.0,-0.36550000000000016,0.05479999999999996
2021-09-01,601169.XSHG,0.0003558418,-2.69353e-05,0.009205225799998829,-0.0102634180999992,-0.5800000000000001,-0.11000000000000032,-57.98,9.189999999999998,0.17000000000000015,-8.740000000000009,-0.7899999999999991,0.1999999999999993,-1.1600000000000001,1.0504999999999995,-0.030000000000000027,-1.721899999999998,-0.02590199759999999,0.021770366100000008,0.04210323049999999,0.035098151800000005,32000000.0,146000000.0,-0.05740000000000001,9.999999999998899e-05
2021-09-01,601229.XSHG,-2.60426e-05,-0.0007012864,0.029728190400000187,0.10105227590000254,0.56,0.4099999999999997,25.869999999999997,11.870000000000001,0.06000000000000005,-15.769999999999982,-0.9800000000000004,-0.3200000000000003,-1.0500000000000007,1.3199999999999932,0.040000000000000036,-10.839999999999996,-0.105364349,0.014406890199999994,0.03175409019999999,-0.006169672400000006,274000.0,133000000.0,0.08239999999999997,0.2832
2021-09-01,601288.XSHG,-0.0002351558,-2.6603e-05,0.0036786715999994613,0.08562449990000331,-0.4500000000000002,-0.1499999999999999,-44.53,-30.93,0.17000000000000015,-29.25,0.46000000000000085,-0.20000000000000107,-1.259999999999998,2.412700000000001,-0.029999999999999805,-5.225999999999999,0.028666519099999982,0.025357443599999988,-0.017015825199999998,0.012667914699999998,-99000000.0,87000000.0,-0.026999999999999996,0.09200000000000008
2021-09-01,601328.XSHG,0.0014140886,0.0003117275,0.021317324000001747,0.1374218814999999,-0.29000000000000004,0.0900000000000003,5.620000000000001,3.76,0.19999999999999996,-27.900000000000006,0.41999999999999993,-0.3500000000000014,-3.3000000000000007,1.1710000000000065,-0.010000000000000009,-0.302500000000002,-0.08622039670000001,-0.00859438459999999,0.0472828606,-0.08292837679999998,122000000.0,-20182000.0,-0.0252,-0.00030000000000002247
