code,bank_name,report_year,field_name_english,field_name_chinese,source_file,reason,detail,raw_snippet_reference,extraction_method
002142.XSHE,宁波银行,2025,top_ten_customer_loan_ratio,最大十家客户贷款占资本净额比率,002142_XSHE_2025_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,002142_XSHE_2025_annual_report_bank_indicator_snippets.txt#snippet_0008,direct_pdf_text
002142.XSHE,宁波银行,2025,single_group_credit_concentration_ratio,单一集团客户授信集中度,002142_XSHE_2025_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,002142_XSHE_2025_annual_report_bank_indicator_snippets.txt#snippet_0008,direct_pdf_text
002807.XSHE,江阴银行,2024,provision_to_loan_ratio,拨贷比,002807_XSHE_2024_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,002807_XSHE_2024_annual_report_bank_indicator_snippets.txt#snippet_0027,direct_pdf_text
002807.XSHE,江阴银行,2024,liquidity_coverage_ratio,流动性覆盖率,002807_XSHE_2024_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,002807_XSHE_2024_annual_report_bank_indicator_snippets.txt#snippet_0027,direct_pdf_text
002807.XSHE,江阴银行,2024,top_ten_customer_loan_ratio,最大十家客户贷款占资本净额比率,002807_XSHE_2024_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,002807_XSHE_2024_annual_report_bank_indicator_snippets.txt#snippet_0027,direct_pdf_text
002807.XSHE,江阴银行,2024,single_group_credit_concentration_ratio,单一集团客户授信集中度,002807_XSHE_2024_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,002807_XSHE_2024_annual_report_bank_indicator_snippets.txt#snippet_0027,direct_pdf_text
002807.XSHE,江阴银行,2025,provision_to_loan_ratio,拨贷比,002807_XSHE_2025_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,002807_XSHE_2025_annual_report_bank_indicator_snippets.txt#snippet_0025,direct_pdf_text
002807.XSHE,江阴银行,2025,liquidity_coverage_ratio,流动性覆盖率,002807_XSHE_2025_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,002807_XSHE_2025_annual_report_bank_indicator_snippets.txt#snippet_0025,direct_pdf_text
002807.XSHE,江阴银行,2025,top_ten_customer_loan_ratio,最大十家客户贷款占资本净额比率,002807_XSHE_2025_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,002807_XSHE_2025_annual_report_bank_indicator_snippets.txt#snippet_0025,direct_pdf_text
002807.XSHE,江阴银行,2025,single_group_credit_concentration_ratio,单一集团客户授信集中度,002807_XSHE_2025_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,002807_XSHE_2025_annual_report_bank_indicator_snippets.txt#snippet_0025,direct_pdf_text
002839.XSHE,张家港行,2024,provision_to_loan_ratio,拨贷比,002839_XSHE_2024_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,002839_XSHE_2024_annual_report_bank_indicator_snippets.txt#snippet_0005,direct_pdf_text
002839.XSHE,张家港行,2024,liquidity_matching_ratio,流动性匹配率,002839_XSHE_2024_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,002839_XSHE_2024_annual_report_bank_indicator_snippets.txt#snippet_0005,direct_pdf_text
002839.XSHE,张家港行,2024,liquidity_coverage_ratio,流动性覆盖率,002839_XSHE_2024_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,002839_XSHE_2024_annual_report_bank_indicator_snippets.txt#snippet_0005,direct_pdf_text
002839.XSHE,张家港行,2024,single_largest_customer_loan_ratio,单一最大客户贷款占资本净额比率,002839_XSHE_2024_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,002839_XSHE_2024_annual_report_bank_indicator_snippets.txt#snippet_0005,direct_pdf_text
002839.XSHE,张家港行,2024,single_group_credit_concentration_ratio,单一集团客户授信集中度,002839_XSHE_2024_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,002839_XSHE_2024_annual_report_bank_indicator_snippets.txt#snippet_0005,direct_pdf_text
002839.XSHE,张家港行,2025,provision_to_loan_ratio,拨贷比,002839_XSHE_2025_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,002839_XSHE_2025_annual_report_bank_indicator_snippets.txt#snippet_0005,direct_pdf_text
002839.XSHE,张家港行,2025,liquidity_matching_ratio,流动性匹配率,002839_XSHE_2025_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,002839_XSHE_2025_annual_report_bank_indicator_snippets.txt#snippet_0005,direct_pdf_text
002839.XSHE,张家港行,2025,liquidity_coverage_ratio,流动性覆盖率,002839_XSHE_2025_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,002839_XSHE_2025_annual_report_bank_indicator_snippets.txt#snippet_0005,direct_pdf_text
002839.XSHE,张家港行,2025,single_largest_customer_loan_ratio,单一最大客户贷款占资本净额比率,002839_XSHE_2025_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,002839_XSHE_2025_annual_report_bank_indicator_snippets.txt#snippet_0005,direct_pdf_text
002839.XSHE,张家港行,2025,single_group_credit_concentration_ratio,单一集团客户授信集中度,002839_XSHE_2025_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,002839_XSHE_2025_annual_report_bank_indicator_snippets.txt#snippet_0005,direct_pdf_text
002936.XSHE,郑州银行,2024,top_ten_customer_loan_ratio,最大十家客户贷款占资本净额比率,002936_XSHE_2024_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,002936_XSHE_2024_annual_report_bank_indicator_snippets.txt#snippet_0009,direct_pdf_text
002936.XSHE,郑州银行,2024,single_group_credit_concentration_ratio,单一集团客户授信集中度,002936_XSHE_2024_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,002936_XSHE_2024_annual_report_bank_indicator_snippets.txt#snippet_0009,direct_pdf_text
002936.XSHE,郑州银行,2025,top_ten_customer_loan_ratio,最大十家客户贷款占资本净额比率,002936_XSHE_2025_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,002936_XSHE_2025_annual_report_bank_indicator_snippets.txt#snippet_0008,direct_pdf_text
002936.XSHE,郑州银行,2025,single_group_credit_concentration_ratio,单一集团客户授信集中度,002936_XSHE_2025_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,002936_XSHE_2025_annual_report_bank_indicator_snippets.txt#snippet_0008,direct_pdf_text
002948.XSHE,青岛银行,2024,liquidity_matching_ratio,流动性匹配率,002948_XSHE_2024_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,002948_XSHE_2024_annual_report_bank_indicator_snippets.txt#snippet_0004,direct_pdf_text
002948.XSHE,青岛银行,2024,single_largest_customer_loan_ratio,单一最大客户贷款占资本净额比率,002948_XSHE_2024_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,002948_XSHE_2024_annual_report_bank_indicator_snippets.txt#snippet_0004,direct_pdf_text
002948.XSHE,青岛银行,2024,top_ten_customer_loan_ratio,最大十家客户贷款占资本净额比率,002948_XSHE_2024_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,002948_XSHE_2024_annual_report_bank_indicator_snippets.txt#snippet_0004,direct_pdf_text
002948.XSHE,青岛银行,2024,single_group_credit_concentration_ratio,单一集团客户授信集中度,002948_XSHE_2024_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,002948_XSHE_2024_annual_report_bank_indicator_snippets.txt#snippet_0004,direct_pdf_text
002948.XSHE,青岛银行,2025,liquidity_matching_ratio,流动性匹配率,002948_XSHE_2025_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,002948_XSHE_2025_annual_report_bank_indicator_snippets.txt#snippet_0005,direct_pdf_text
002948.XSHE,青岛银行,2025,single_largest_customer_loan_ratio,单一最大客户贷款占资本净额比率,002948_XSHE_2025_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,002948_XSHE_2025_annual_report_bank_indicator_snippets.txt#snippet_0005,direct_pdf_text
002948.XSHE,青岛银行,2025,top_ten_customer_loan_ratio,最大十家客户贷款占资本净额比率,002948_XSHE_2025_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,002948_XSHE_2025_annual_report_bank_indicator_snippets.txt#snippet_0005,direct_pdf_text
002948.XSHE,青岛银行,2025,single_group_credit_concentration_ratio,单一集团客户授信集中度,002948_XSHE_2025_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,002948_XSHE_2025_annual_report_bank_indicator_snippets.txt#snippet_0005,direct_pdf_text
002958.XSHE,青农商行,2024,liquidity_matching_ratio,流动性匹配率,002958_XSHE_2024_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,002958_XSHE_2024_annual_report_bank_indicator_snippets.txt#snippet_0001,direct_pdf_text
002958.XSHE,青农商行,2024,top_ten_customer_loan_ratio,最大十家客户贷款占资本净额比率,002958_XSHE_2024_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,002958_XSHE_2024_annual_report_bank_indicator_snippets.txt#snippet_0001,direct_pdf_text
002958.XSHE,青农商行,2025,liquidity_matching_ratio,流动性匹配率,002958_XSHE_2025_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,002958_XSHE_2025_annual_report_bank_indicator_snippets.txt#snippet_0010,direct_pdf_text
002958.XSHE,青农商行,2025,top_ten_customer_loan_ratio,最大十家客户贷款占资本净额比率,002958_XSHE_2025_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,002958_XSHE_2025_annual_report_bank_indicator_snippets.txt#snippet_0010,direct_pdf_text
002966.XSHE,苏州银行,2024,liquidity_matching_ratio,流动性匹配率,002966_XSHE_2024_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,002966_XSHE_2024_annual_report_bank_indicator_snippets.txt#snippet_0004,direct_pdf_text
002966.XSHE,苏州银行,2025,liquidity_matching_ratio,流动性匹配率,002966_XSHE_2025_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,002966_XSHE_2025_annual_report_bank_indicator_snippets.txt#snippet_0004,direct_pdf_text
600000.XSHG,浦发银行,2024,liquidity_matching_ratio,流动性匹配率,600000_XSHG_2024_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,600000_XSHG_2024_annual_report_bank_indicator_snippets.txt#snippet_0001,direct_pdf_text
600000.XSHG,浦发银行,2024,single_group_credit_concentration_ratio,单一集团客户授信集中度,600000_XSHG_2024_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,600000_XSHG_2024_annual_report_bank_indicator_snippets.txt#snippet_0001,direct_pdf_text
600000.XSHG,浦发银行,2025,liquidity_matching_ratio,流动性匹配率,600000_XSHG_2025_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,600000_XSHG_2025_annual_report_bank_indicator_snippets.txt#snippet_0007,direct_pdf_text
600000.XSHG,浦发银行,2025,single_group_credit_concentration_ratio,单一集团客户授信集中度,600000_XSHG_2025_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,600000_XSHG_2025_annual_report_bank_indicator_snippets.txt#snippet_0007,direct_pdf_text
600015.XSHG,华夏银行,2024,liquidity_matching_ratio,流动性匹配率,600015_XSHG_2024_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,600015_XSHG_2024_annual_report_bank_indicator_snippets.txt#snippet_0002,direct_pdf_text
600015.XSHG,华夏银行,2024,single_group_credit_concentration_ratio,单一集团客户授信集中度,600015_XSHG_2024_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,600015_XSHG_2024_annual_report_bank_indicator_snippets.txt#snippet_0002,direct_pdf_text
600015.XSHG,华夏银行,2025,liquidity_matching_ratio,流动性匹配率,600015_XSHG_2025_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,600015_XSHG_2025_annual_report_bank_indicator_snippets.txt#snippet_0002,direct_pdf_text
600015.XSHG,华夏银行,2025,single_group_credit_concentration_ratio,单一集团客户授信集中度,600015_XSHG_2025_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,600015_XSHG_2025_annual_report_bank_indicator_snippets.txt#snippet_0002,direct_pdf_text
600016.XSHG,民生银行,2024,single_group_credit_concentration_ratio,单一集团客户授信集中度,600016_XSHG_2024_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,600016_XSHG_2024_annual_report_bank_indicator_snippets.txt#snippet_0026,direct_pdf_text
600016.XSHG,民生银行,2025,single_group_credit_concentration_ratio,单一集团客户授信集中度,600016_XSHG_2025_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,600016_XSHG_2025_annual_report_bank_indicator_snippets.txt#snippet_0007,direct_pdf_text
600036.XSHG,招商银行,2024,liquidity_matching_ratio,流动性匹配率,600036_XSHG_2024_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,600036_XSHG_2024_annual_report_windows_ocr_normalized_bank_indicator_snippets.txt#snippet_0058,windows_ocr_normalized
600036.XSHG,招商银行,2024,single_largest_customer_loan_ratio,单一最大客户贷款占资本净额比率,600036_XSHG_2024_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,600036_XSHG_2024_annual_report_windows_ocr_normalized_bank_indicator_snippets.txt#snippet_0058,windows_ocr_normalized
600036.XSHG,招商银行,2024,top_ten_customer_loan_ratio,最大十家客户贷款占资本净额比率,600036_XSHG_2024_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,600036_XSHG_2024_annual_report_windows_ocr_normalized_bank_indicator_snippets.txt#snippet_0058,windows_ocr_normalized
600036.XSHG,招商银行,2024,single_group_credit_concentration_ratio,单一集团客户授信集中度,600036_XSHG_2024_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,600036_XSHG_2024_annual_report_windows_ocr_normalized_bank_indicator_snippets.txt#snippet_0058,windows_ocr_normalized
600036.XSHG,招商银行,2025,liquidity_matching_ratio,流动性匹配率,600036_XSHG_2025_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,600036_XSHG_2025_annual_report_windows_ocr_normalized_bank_indicator_snippets.txt#snippet_0054,windows_ocr_normalized
600036.XSHG,招商银行,2025,single_largest_customer_loan_ratio,单一最大客户贷款占资本净额比率,600036_XSHG_2025_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,600036_XSHG_2025_annual_report_windows_ocr_normalized_bank_indicator_snippets.txt#snippet_0054,windows_ocr_normalized
600036.XSHG,招商银行,2025,top_ten_customer_loan_ratio,最大十家客户贷款占资本净额比率,600036_XSHG_2025_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,600036_XSHG_2025_annual_report_windows_ocr_normalized_bank_indicator_snippets.txt#snippet_0054,windows_ocr_normalized
600036.XSHG,招商银行,2025,single_group_credit_concentration_ratio,单一集团客户授信集中度,600036_XSHG_2025_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,600036_XSHG_2025_annual_report_windows_ocr_normalized_bank_indicator_snippets.txt#snippet_0054,windows_ocr_normalized
600908.XSHG,无锡银行,2024,liquidity_matching_ratio,流动性匹配率,600908_XSHG_2024_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,600908_XSHG_2024_annual_report_bank_indicator_snippets.txt#snippet_0007,direct_pdf_text
600908.XSHG,无锡银行,2024,liquidity_coverage_ratio,流动性覆盖率,600908_XSHG_2024_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,600908_XSHG_2024_annual_report_bank_indicator_snippets.txt#snippet_0007,direct_pdf_text
600908.XSHG,无锡银行,2024,single_largest_customer_loan_ratio,单一最大客户贷款占资本净额比率,600908_XSHG_2024_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,600908_XSHG_2024_annual_report_bank_indicator_snippets.txt#snippet_0007,direct_pdf_text
600908.XSHG,无锡银行,2024,top_ten_customer_loan_ratio,最大十家客户贷款占资本净额比率,600908_XSHG_2024_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,600908_XSHG_2024_annual_report_bank_indicator_snippets.txt#snippet_0007,direct_pdf_text
600908.XSHG,无锡银行,2024,single_group_credit_concentration_ratio,单一集团客户授信集中度,600908_XSHG_2024_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,600908_XSHG_2024_annual_report_bank_indicator_snippets.txt#snippet_0007,direct_pdf_text
600908.XSHG,无锡银行,2025,liquidity_matching_ratio,流动性匹配率,600908_XSHG_2025_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,600908_XSHG_2025_annual_report_bank_indicator_snippets.txt#snippet_0007,direct_pdf_text
600908.XSHG,无锡银行,2025,liquidity_coverage_ratio,流动性覆盖率,600908_XSHG_2025_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,600908_XSHG_2025_annual_report_bank_indicator_snippets.txt#snippet_0007,direct_pdf_text
600908.XSHG,无锡银行,2025,single_largest_customer_loan_ratio,单一最大客户贷款占资本净额比率,600908_XSHG_2025_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,600908_XSHG_2025_annual_report_bank_indicator_snippets.txt#snippet_0007,direct_pdf_text
600908.XSHG,无锡银行,2025,top_ten_customer_loan_ratio,最大十家客户贷款占资本净额比率,600908_XSHG_2025_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,600908_XSHG_2025_annual_report_bank_indicator_snippets.txt#snippet_0007,direct_pdf_text
600908.XSHG,无锡银行,2025,single_group_credit_concentration_ratio,单一集团客户授信集中度,600908_XSHG_2025_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,600908_XSHG_2025_annual_report_bank_indicator_snippets.txt#snippet_0007,direct_pdf_text
600919.XSHG,江苏银行,2024,liquidity_matching_ratio,流动性匹配率,600919_XSHG_2024_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,600919_XSHG_2024_annual_report_bank_indicator_snippets.txt#snippet_0004,direct_pdf_text
600919.XSHG,江苏银行,2024,single_group_credit_concentration_ratio,单一集团客户授信集中度,600919_XSHG_2024_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,600919_XSHG_2024_annual_report_bank_indicator_snippets.txt#snippet_0004,direct_pdf_text
600919.XSHG,江苏银行,2025,liquidity_matching_ratio,流动性匹配率,600919_XSHG_2025_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,600919_XSHG_2025_annual_report_bank_indicator_snippets.txt#snippet_0001,direct_pdf_text
600919.XSHG,江苏银行,2025,single_group_credit_concentration_ratio,单一集团客户授信集中度,600919_XSHG_2025_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,600919_XSHG_2025_annual_report_bank_indicator_snippets.txt#snippet_0001,direct_pdf_text
600926.XSHG,杭州银行,2024,liquidity_matching_ratio,流动性匹配率,600926_XSHG_2024_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,600926_XSHG_2024_annual_report_bank_indicator_snippets.txt#snippet_0006,direct_pdf_text
600926.XSHG,杭州银行,2024,single_largest_customer_loan_ratio,单一最大客户贷款占资本净额比率,600926_XSHG_2024_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,600926_XSHG_2024_annual_report_bank_indicator_snippets.txt#snippet_0006,direct_pdf_text
600926.XSHG,杭州银行,2024,single_group_credit_concentration_ratio,单一集团客户授信集中度,600926_XSHG_2024_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,600926_XSHG_2024_annual_report_bank_indicator_snippets.txt#snippet_0006,direct_pdf_text
600926.XSHG,杭州银行,2025,liquidity_matching_ratio,流动性匹配率,600926_XSHG_2025_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,600926_XSHG_2025_annual_report_bank_indicator_snippets.txt#snippet_0006,direct_pdf_text
600926.XSHG,杭州银行,2025,single_largest_customer_loan_ratio,单一最大客户贷款占资本净额比率,600926_XSHG_2025_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,600926_XSHG_2025_annual_report_bank_indicator_snippets.txt#snippet_0006,direct_pdf_text
600926.XSHG,杭州银行,2025,single_group_credit_concentration_ratio,单一集团客户授信集中度,600926_XSHG_2025_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,600926_XSHG_2025_annual_report_bank_indicator_snippets.txt#snippet_0006,direct_pdf_text
600928.XSHG,西安银行,2024,liquidity_matching_ratio,流动性匹配率,600928_XSHG_2024_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,600928_XSHG_2024_annual_report_bank_indicator_snippets.txt#snippet_0006,direct_pdf_text
600928.XSHG,西安银行,2024,single_largest_customer_loan_ratio,单一最大客户贷款占资本净额比率,600928_XSHG_2024_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,600928_XSHG_2024_annual_report_bank_indicator_snippets.txt#snippet_0006,direct_pdf_text
600928.XSHG,西安银行,2024,top_ten_customer_loan_ratio,最大十家客户贷款占资本净额比率,600928_XSHG_2024_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,600928_XSHG_2024_annual_report_bank_indicator_snippets.txt#snippet_0006,direct_pdf_text
600928.XSHG,西安银行,2024,single_group_credit_concentration_ratio,单一集团客户授信集中度,600928_XSHG_2024_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,600928_XSHG_2024_annual_report_bank_indicator_snippets.txt#snippet_0006,direct_pdf_text
600928.XSHG,西安银行,2025,liquidity_matching_ratio,流动性匹配率,600928_XSHG_2025_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,600928_XSHG_2025_annual_report_bank_indicator_snippets.txt#snippet_0006,direct_pdf_text
600928.XSHG,西安银行,2025,single_largest_customer_loan_ratio,单一最大客户贷款占资本净额比率,600928_XSHG_2025_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,600928_XSHG_2025_annual_report_bank_indicator_snippets.txt#snippet_0006,direct_pdf_text
600928.XSHG,西安银行,2025,top_ten_customer_loan_ratio,最大十家客户贷款占资本净额比率,600928_XSHG_2025_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,600928_XSHG_2025_annual_report_bank_indicator_snippets.txt#snippet_0006,direct_pdf_text
600928.XSHG,西安银行,2025,single_group_credit_concentration_ratio,单一集团客户授信集中度,600928_XSHG_2025_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,600928_XSHG_2025_annual_report_bank_indicator_snippets.txt#snippet_0006,direct_pdf_text
601009.XSHG,南京银行,2024,liquidity_matching_ratio,流动性匹配率,601009_XSHG_2024_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,601009_XSHG_2024_annual_report_windows_ocr_normalized_bank_indicator_snippets.txt#snippet_0014,windows_ocr_normalized
601009.XSHG,南京银行,2024,single_largest_customer_loan_ratio,单一最大客户贷款占资本净额比率,601009_XSHG_2024_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,601009_XSHG_2024_annual_report_windows_ocr_normalized_bank_indicator_snippets.txt#snippet_0014,windows_ocr_normalized
601009.XSHG,南京银行,2024,single_group_credit_concentration_ratio,单一集团客户授信集中度,601009_XSHG_2024_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,601009_XSHG_2024_annual_report_windows_ocr_normalized_bank_indicator_snippets.txt#snippet_0014,windows_ocr_normalized
601009.XSHG,南京银行,2025,liquidity_matching_ratio,流动性匹配率,601009_XSHG_2025_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,601009_XSHG_2025_annual_report_windows_ocr_normalized_bank_indicator_snippets.txt#snippet_0014,windows_ocr_normalized
601009.XSHG,南京银行,2025,single_largest_customer_loan_ratio,单一最大客户贷款占资本净额比率,601009_XSHG_2025_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,601009_XSHG_2025_annual_report_windows_ocr_normalized_bank_indicator_snippets.txt#snippet_0014,windows_ocr_normalized
601009.XSHG,南京银行,2025,single_group_credit_concentration_ratio,单一集团客户授信集中度,601009_XSHG_2025_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,601009_XSHG_2025_annual_report_windows_ocr_normalized_bank_indicator_snippets.txt#snippet_0014,windows_ocr_normalized
601077.XSHG,渝农商行,2024,liquidity_matching_ratio,流动性匹配率,601077_XSHG_2024_annual_report.pdf,numeric_value_not_found,No alias anchor found in candidate snippet.,601077_XSHG_2024_annual_report_bank_indicator_snippets.txt#snippet_0030,direct_pdf_text
