rebalance_date,quarter_key,code,avg_traded_amount_lookback,avg_traded_volume_lookback,market_cap,circulating_market_cap,turnover_ratio
2019-04-30,2018q4,601328.XSHG,1108829228.850000,272044735.700000,4648.8467,2457.1041,0.2291
2019-04-30,2018q4,601398.XSHG,1748207177.350000,451799364.350000,20707.2035,15664.4695,0.0686
2019-04-30,2018q4,601939.XSHG,1264952205.500000,251498235.950000,18600.8167,713.7681,1.1771
2019-04-30,2018q4,601988.XSHG,765954478.600000,293784155.500000,11451.6851,8198.7785,0.0571
2019-04-30,2018q4,601997.XSHG,509124401.950000,72881067.300000,316.2862,170.4816,2.4399
2019-04-30,2019q1,002142.XSHE,531391716.578500,28139157.700000,1192.7659,1060.4641,0.4781
2019-04-30,2019q1,002807.XSHE,140567636.221000,39721221.950000,110.3278,46.377,1.2028
2019-04-30,2019q1,002839.XSHE,249358443.369500,57515558.850000,117.3085,55.7987,1.6923
2019-04-30,2019q1,600908.XSHG,115046306.300000,22130691.050000,118.4716,52.3201,1.0729
2019-04-30,2019q1,600919.XSHG,356319823.950000,77688069.550000,847.3626,441.0038,0.9152
2019-04-30,2019q1,601128.XSHG,481770017.300000,99129650.200000,204.7428,104.7388,3.4447
2019-04-30,2019q1,601169.XSHG,515671867.550000,122805047.450000,1346.8081,1162.3983,0.4049
2019-04-30,2019q1,601229.XSHG,478538790.350000,76598536.450000,1384.5901,658.2797,0.8168
2019-04-30,2019q1,601288.XSHG,1518439235.700000,613332943.150000,13159.3621,11056.4791,0.0996
2019-04-30,2019q1,601577.XSHG,263581030.500000,32137064.100000,362.6847,36.2685,3.332
2019-04-30,2019q1,601818.XSHG,695849548.750000,249110421.800000,2188.8035,1660.1002,0.2486
2019-04-30,2019q1,601838.XSHG,311254824.650000,46122014.700000,341.3578,176.397,1.6021
2019-04-30,2019q1,601998.XSHG,399110459.750000,92074148.400000,3077.9987,2006.8348,0.1221
2019-04-30,2019q1,603323.XSHG,271548493.750000,54632143.800000,114.39,55.6773,2.0819
2019-10-31,2019q3,002807.XSHE,63612158.247500,21322845.300000,95.5671,94.9357,0.5832
2019-10-31,2019q3,002839.XSHE,188727903.968000,50433469.600000,105.923,50.7253,3.4979
2019-10-31,2019q3,002936.XSHE,94199989.547000,27031819.200000,276.5542,69.7919,0.9148
2019-10-31,2019q3,600000.XSHG,759625048.050000,78283080.900000,3671.9453,3515.7809,0.1187
2019-10-31,2019q3,600919.XSHG,278136962.950000,59783572.300000,816.1947,806.387,0.2796
2019-10-31,2019q3,601128.XSHG,417170063.000000,83549267.950000,235.1654,220.9425,0.8777
2019-10-31,2019q3,601166.XSHG,1416337171.800000,110480753.050000,3888.9285,3566.5974,0.2619
2019-10-31,2019q3,601169.XSHG,327422899.600000,85007256.650000,1171.3213,1010.9398,0.2618
2019-10-31,2019q3,601229.XSHG,343791718.100000,53284696.800000,1325.4691,630.1716,0.2635
2019-10-31,2019q3,601288.XSHG,782927930.600000,320330575.450000,12739.3824,10703.6127,0.063
2019-10-31,2019q3,601328.XSHG,466354369.700000,122035658.500000,4166.139,2201.9735,0.1638
2019-10-31,2019q3,601398.XSHG,859020746.950000,215444712.750000,21063.6098,15934.0818,0.036
2019-10-31,2019q3,601577.XSHG,128999924.400000,18957638.700000,302.4654,87.9874,1.0116
2019-10-31,2019q3,601997.XSHG,171329174.800000,26999244.150000,294.1278,280.5833,0.6762
