factor_name,factor_family,layer,direction,target_label,train_rank_ic_mean,test_rank_ic_mean,train_positive_ic_ratio,test_positive_ic_ratio,train_top_minus_bottom,test_top_minus_bottom,keep_flag,keep_reason,priority_score,fold_id
bank_indicator__cost_to_income_ratio,bank_indicator,watch_layer,smaller_better,y_year_avg_daily_return_close,0.021652,0.013889,0.5,0.5,5.82e-06,-9.25e-06,0,fail_threshold_rule,18.888991,annual_02
bank_indicator__core_level_capital_adequacy_ratio,bank_indicator,watch_layer,larger_better,y_year_avg_daily_return_close,0.146164,0.080215,0.625,0.666667,0.00028242,-1.715e-05,1,pass_train_ic_and_test_ic_positive_ratio_and_structure|selected_after_layer_caps,86.881653,annual_02
derived__investment_income_to_operating_revenue,derived,watch_layer,larger_better,y_quarter_avg_daily_return_close,0.080202,0.001664,0.6,0.333333,4.295e-05,0.00016088,0,fail_threshold_rule,4.997491,annual_02
improve__annual_delta__bank_indicator__capital_adequacy_ratio,improvement_bank_indicator,improvement_layer,smaller_better,y_year_avg_daily_return_close,0.210412,0.098454,0.6875,0.666667,0.00019039,0.00027175,1,pass_train_ic_and_test_ic_positive_ratio_and_structure|selected_after_layer_caps,105.120942,annual_02
improve__season_yoy_delta__derived__staff_cash_to_operating_revenue,improvement_derived,improvement_layer,smaller_better,y_quarter_avg_daily_return_close,0.063314,0.018059,0.571429,0.5,-6.425e-05,6.53e-06,0,pass_train_ic_and_test_ic_positive_ratio_and_structure|dropped_by_layer_caps,23.059007,annual_02
improve__snapshot_delta__indicator__inc_net_profit_to_shareholders_annual,improvement_indicator,improvement_layer,smaller_better,y_quarter_avg_daily_return_close,0.059392,0.000574,0.6,0.333333,-0.00014074,0.0003532,0,fail_threshold_rule,3.907683,annual_02
improve__snapshot_delta__indicator__eps,improvement_indicator,improvement_layer,smaller_better,y_quarter_avg_daily_return_close,0.068747,0.027565,0.8,0.666667,0.00018195,0.00026304,0,pass_train_ic_and_test_ic_positive_ratio_and_structure|dropped_by_layer_caps,34.231933,annual_02
indicator__roe,indicator,base_core,larger_better,y_quarter_avg_daily_return_close,0.193215,-0.011317,0.8,0.666667,0.00039936,1.755e-05,0,fail_threshold_rule,-4.650312,annual_03
indicator__eps,indicator,base_core,larger_better,y_quarter_avg_daily_return_close,0.095843,-0.235476,0.733333,0.166667,0.00054565,-0.000679,0,fail_threshold_rule,-233.810009,annual_03
derived__log_total_assets,derived,base_core,larger_better,y_quarter_avg_daily_return_close,0.160546,0.181517,0.733333,0.833333,0.00019783,0.00046761,1,pass_train_ic_and_test_ic_positive_ratio_and_structure|selected_after_layer_caps,189.850798,annual_03
bank_indicator__Nonperforming_loan_rate,bank_indicator,base_core,smaller_better,y_year_avg_daily_return_close,0.152818,-0.411422,0.733333,0.0,0.00030959,-0.00043965,0,fail_threshold_rule,-411.42244,annual_03
bank_indicator__non_performing_loan_provision_coverage,bank_indicator,base_core,larger_better,y_year_avg_daily_return_close,0.162035,-0.290812,0.666667,0.0,0.00023207,-0.00045738,0,fail_threshold_rule,-290.812457,annual_03
bank_indicator__deposit_loan_ratio,bank_indicator,base_core,smaller_better,y_year_avg_daily_return_close,0.259314,0.057855,1.0,0.666667,0.00034861,-2.055e-05,1,pass_train_ic_and_test_ic_positive_ratio_and_structure|selected_after_layer_caps,64.521649,annual_03
bank_indicator__capital_adequacy_ratio,bank_indicator,base_core,larger_better,y_year_avg_daily_return_close,0.32383,0.26653,0.866667,1.0,0.00045041,0.00037497,1,pass_train_ic_and_test_ic_positive_ratio_and_structure|selected_after_layer_caps,276.530375,annual_03
improve__annual_delta__bank_indicator__Nonperforming_loan_rate,improvement_bank_indicator,improvement_layer,smaller_better,y_year_avg_daily_return_close,0.247478,-0.151701,0.933333,0.5,0.00033599,-0.0002348,0,fail_threshold_rule,-146.701235,annual_03
improve__snapshot_delta__derived__investment_income_to_operating_revenue,improvement_derived,improvement_layer,smaller_better,y_quarter_avg_daily_return_close,0.10575,-0.059679,0.6,0.333333,0.00028145,-0.00028478,0,fail_threshold_rule,-56.345955,annual_03
bank_indicator__non_interest_income_ratio,bank_indicator,watch_layer,larger_better,y_year_avg_daily_return_close,0.167298,-0.301408,0.866667,0.0,0.00019237,-0.00042368,0,fail_threshold_rule,-301.408424,annual_03
bank_indicator__net_interest_margin,bank_indicator,watch_layer,larger_better,y_year_avg_daily_return_close,0.150621,-0.419904,0.733333,0.0,0.00017735,-0.00054413,0,fail_threshold_rule,-419.904544,annual_03
indicator__inc_net_profit_to_shareholders_annual,indicator,watch_layer,larger_better,y_quarter_avg_daily_return_close,-0.007007,0.069441,0.533333,0.833333,2.355e-05,0.00014601,0,fail_threshold_rule,77.774476,annual_03
bank_indicator__cost_to_income_ratio,bank_indicator,watch_layer,smaller_better,y_year_avg_daily_return_close,-0.060387,0.062229,0.266667,0.666667,-0.00019154,0.00018524,0,fail_threshold_rule,68.895855,annual_03
