combo_name,window_name,rebalance_date,bucket,avg_return
combo__ic_weight,validation,2020-08-31,5,0.0014583629
combo__ic_weight,validation,2021-04-30,1,-0.0013430247
combo__ic_weight,validation,2021-04-30,2,-0.000877157
combo__ic_weight,validation,2021-04-30,3,-0.0007131033
combo__ic_weight,validation,2021-04-30,4,-0.0003666935
combo__ic_weight,validation,2021-04-30,5,-0.0007326542
combo__quarterly_plus_annual,train,2015-04-28,1,-0.0229309182
combo__quarterly_plus_annual,train,2015-04-28,2,-0.0157894737
combo__quarterly_plus_annual,train,2015-04-28,3,-0.0195419122
combo__quarterly_plus_annual,train,2015-04-28,4,-0.0178571429
combo__quarterly_plus_annual,train,2015-04-28,5,-0.016748366
combo__quarterly_plus_annual,train,2015-04-30,1,-0.0014969986
combo__quarterly_plus_annual,train,2015-04-30,2,-0.0022227728
combo__quarterly_plus_annual,train,2015-04-30,3,-0.0021511196
combo__quarterly_plus_annual,train,2015-04-30,4,0.0002160595
combo__quarterly_plus_annual,train,2015-04-30,5,-0.001033622
combo__quarterly_plus_annual,train,2015-08-31,1,0.0014523971
combo__quarterly_plus_annual,train,2015-08-31,2,0.0002329004
combo__quarterly_plus_annual,train,2015-08-31,3,-0.0011161501
combo__quarterly_plus_annual,train,2015-08-31,4,0.0005565961
combo__quarterly_plus_annual,train,2015-08-31,5,-6.06562e-05
combo__quarterly_plus_annual,train,2016-04-28,1,0.0010499984
combo__quarterly_plus_annual,train,2016-04-28,2,0.0002760009
combo__quarterly_plus_annual,train,2016-04-28,3,0.0012904352
combo__quarterly_plus_annual,train,2016-04-28,4,0.0013803946
combo__quarterly_plus_annual,train,2016-04-28,5,0.0014978442
combo__quarterly_plus_annual,train,2016-08-31,1,-0.0005801995
combo__quarterly_plus_annual,train,2016-08-31,2,0.0001300966
combo__quarterly_plus_annual,train,2016-08-31,3,0.0004719371
combo__quarterly_plus_annual,train,2016-08-31,4,-0.0011569304
combo__quarterly_plus_annual,train,2016-08-31,5,-0.0002644173
combo__quarterly_plus_annual,train,2016-10-31,1,0.0003776186
combo__quarterly_plus_annual,train,2016-10-31,2,0.0003465766
combo__quarterly_plus_annual,train,2016-10-31,3,0.0022045573
combo__quarterly_plus_annual,train,2016-10-31,4,0.0014840305
combo__quarterly_plus_annual,train,2016-10-31,5,0.0013648937
combo__quarterly_plus_annual,train,2017-08-31,1,-0.000740448
combo__quarterly_plus_annual,train,2017-08-31,2,-0.0015756129
combo__quarterly_plus_annual,train,2017-08-31,3,-0.0006297261
combo__quarterly_plus_annual,train,2017-08-31,4,-0.0005129869
combo__quarterly_plus_annual,train,2017-08-31,5,0.0001647551
combo__quarterly_plus_annual,train,2017-10-31,1,-0.0009729292
combo__quarterly_plus_annual,train,2017-10-31,2,-0.0004111635
combo__quarterly_plus_annual,train,2017-10-31,3,2.65762e-05
combo__quarterly_plus_annual,train,2017-10-31,4,0.0002918543
combo__quarterly_plus_annual,train,2017-10-31,5,0.0002827971
combo__quarterly_plus_annual,train,2018-08-31,1,0.0016128354
combo__quarterly_plus_annual,train,2018-08-31,2,0.0013434294
combo__quarterly_plus_annual,train,2018-08-31,3,0.0010916919
combo__quarterly_plus_annual,train,2018-08-31,4,0.0013586496
combo__quarterly_plus_annual,train,2018-08-31,5,0.0016070046
combo__quarterly_plus_annual,train,2018-10-31,1,0.0009363967
combo__quarterly_plus_annual,train,2018-10-31,2,0.0010026909
combo__quarterly_plus_annual,train,2018-10-31,3,0.0005518598
combo__quarterly_plus_annual,train,2018-10-31,4,0.0005146781
combo__quarterly_plus_annual,train,2018-10-31,5,0.0021964227
combo__quarterly_plus_annual,train,2019-04-30,1,0.0003326824
combo__quarterly_plus_annual,train,2019-04-30,2,0.0005233502
combo__quarterly_plus_annual,train,2019-04-30,3,-0.0001263557
combo__quarterly_plus_annual,train,2019-04-30,4,4.76e-05
combo__quarterly_plus_annual,train,2019-04-30,5,0.0009578755
combo__quarterly_plus_annual,validation,2019-10-31,1,-0.0012635165
combo__quarterly_plus_annual,validation,2019-10-31,2,-0.0011017663
combo__quarterly_plus_annual,validation,2019-10-31,3,-0.0009942905
combo__quarterly_plus_annual,validation,2019-10-31,4,-0.0012670232
combo__quarterly_plus_annual,validation,2019-10-31,5,-0.0009161068
combo__quarterly_plus_annual,validation,2020-04-30,1,0.0013039539
combo__quarterly_plus_annual,validation,2020-04-30,2,0.0009273019
combo__quarterly_plus_annual,validation,2020-04-30,3,0.0003843838
combo__quarterly_plus_annual,validation,2020-04-30,4,0.0006690907
combo__quarterly_plus_annual,validation,2020-04-30,5,0.0021442301
combo__quarterly_plus_annual,validation,2020-08-31,1,-0.0005489596
combo__quarterly_plus_annual,validation,2020-08-31,2,0.0001541588
combo__quarterly_plus_annual,validation,2020-08-31,3,0.0004314354
combo__quarterly_plus_annual,validation,2020-08-31,4,0.0003115993
combo__quarterly_plus_annual,validation,2020-08-31,5,0.0014583629
combo__quarterly_plus_annual,validation,2021-04-30,1,-0.0011239159
combo__quarterly_plus_annual,validation,2021-04-30,2,-0.0008246106
combo__quarterly_plus_annual,validation,2021-04-30,3,-0.0010395357
combo__quarterly_plus_annual,validation,2021-04-30,4,-0.0003666935
combo__quarterly_plus_annual,validation,2021-04-30,5,-0.0007326542
