rebalance_date,quarter_key,code,active_quarter_key,effective_data_flag,avg_traded_amount_lookback,market_cap,circulating_market_cap,avg_traded_volume_lookback,liquidity_top_80_flag,market_cap_top_80_flag,rebalance_stock_pool_flag
2016-10-31,2016q3,601398.XSHG,2016q3,1,273206234.050000,15788.7972,11943.821,101319717.650000,1,1,1
2016-10-31,2016q3,601818.XSHG,2016q3,1,214136997.000000,1778.4735,1516.7747,91522455.000000,0,1,0
2016-10-31,2016q3,601939.XSHG,2016q3,1,267594849.350000,13150.5774,504.6264,82790275.400000,1,1,1
2016-10-31,2016q3,601988.XSHG,2016q3,1,306386012.850000,9979.7461,7144.951,148823722.600000,1,1,1
2016-10-31,2016q3,601998.XSHG,2016q3,1,138149998.600000,2970.3422,1936.6435,36796942.150000,0,1,0
2017-08-31,2017q2,002142.XSHE,2017q2,1,376807217.226500,806.5944,715.7457,30091789.350000,1,1,1
2017-08-31,2017q2,002807.XSHE,2017q2,1,305132038.081500,216.3242,25.6361,47197269.000000,1,0,0
2017-08-31,2017q2,600000.XSHG,2017q2,1,762351589.100000,3571.9884,3571.9884,81537215.150000,1,1,1
2017-08-31,2017q2,600015.XSHG,2017q2,1,478113176.750000,1220.7198,1220.7198,74228071.450000,1,1,1
2017-08-31,2017q2,600016.XSHG,2017q2,1,704202463.200000,3064.7693,2482.3486,156529031.250000,1,1,1
2017-08-31,2017q2,600036.XSHG,2017q2,1,1141908459.300000,6746.3087,5518.2426,61587947.700000,1,1,1
2017-08-31,2017q2,600908.XSHG,2017q2,1,157505916.400000,216.7839,21.6784,17992488.250000,1,0,0
2017-08-31,2017q2,600919.XSHG,2017q2,1,449183545.550000,1014.7572,509.3662,83878131.300000,1,1,1
2017-08-31,2017q2,600926.XSHG,2017q2,1,144601598.700000,547.8321,54.7843,18447995.500000,0,1,0
2017-08-31,2017q2,601009.XSHG,2017q2,1,424140453.100000,683.666,650.402,83104488.300000,1,1,1
2017-08-31,2017q2,601128.XSHG,2017q2,1,124550270.100000,248.0564,24.8056,20065663.050000,0,1,0
2017-08-31,2017q2,601166.XSHG,2017q2,1,1300129064.850000,3666.6447,3362.7374,116533599.450000,1,1,1
2017-08-31,2017q2,601229.XSHG,2017q2,1,194679203.100000,1476.8545,147.6867,30102033.700000,1,1,1
2017-08-31,2017q2,601328.XSHG,2017q2,1,669155215.500000,4886.4874,2582.7069,169229777.400000,1,1,1
2017-08-31,2017q2,601818.XSHG,2017q2,1,537706127.550000,1960.522,1672.0351,205218207.300000,1,1,1
2017-08-31,2017q2,601997.XSHG,2017q2,1,242823218.400000,362.2581,190.318,32895966.000000,1,1,1
2017-08-31,2017q2,601998.XSHG,2017q2,1,313737908.200000,3195.4422,2083.4072,75539925.700000,1,1,1
2017-08-31,2017q2,603323.XSHG,2017q2,1,81745673.700000,174.4942,17.4665,11250859.000000,0,0,0
2017-10-31,2017q3,002142.XSHE,2017q3,1,340327766.796500,869.4591,771.5297,25779330.000000,1,1,1
2017-10-31,2017q3,002807.XSHE,2017q3,1,149968123.975000,161.5362,65.5073,28292386.950000,1,0,0
2017-10-31,2017q3,600000.XSHG,2017q3,1,384733952.400000,3701.2973,3543.8846,40450984.000000,1,1,1
2017-10-31,2017q3,600036.XSHG,2017q3,1,1478669158.850000,6834.5782,5590.4439,77765875.350000,1,1,1
2017-10-31,2017q3,600926.XSHG,2017q3,1,112418284.450000,471.2456,188.4835,15670895.500000,1,1,1
2017-10-31,2017q3,601009.XSHG,2017q3,1,242573750.400000,676.032,643.1394,47172786.950000,1,1,1
2017-10-31,2017q3,601128.XSHG,2017q3,1,203156212.200000,178.0405,79.3268,41966627.750000,1,1,1
2017-10-31,2017q3,601166.XSHG,2017q3,1,1345201715.500000,3623.0189,3322.7275,119292168.400000,1,1,1
2017-10-31,2017q3,601229.XSHG,2017q3,1,99908065.300000,1375.3793,137.5391,16398472.600000,0,1,0
2017-10-31,2017q3,601328.XSHG,2017q3,1,507496313.600000,4619.1416,2441.4037,130395446.750000,1,1,1
2017-10-31,2017q3,601939.XSHG,2017q3,1,485722655.350000,17900.786,686.9059,105115512.200000,1,1,1
2017-10-31,2017q3,601998.XSHG,2017q3,1,163719686.300000,3043.7443,1984.5012,40104958.150000,1,1,1
2017-10-31,2017q3,603323.XSHG,2017q3,1,59060002.300000,143.65,14.379,8850863.350000,0,0,0
2018-08-31,2018q2,002142.XSHE,2018q2,1,318374527.402000,850.7024,753.6584,23388172.350000,1,1,1
2018-08-31,2018q2,002807.XSHE,2018q2,1,41697398.368000,98.4434,40.0107,13654468.500000,0,0,0
2018-08-31,2018q2,002839.XSHE,2018q2,1,109202070.816500,102.4868,47.8474,30637262.750000,1,0,0
2018-08-31,2018q2,600000.XSHG,2018q2,1,182865103.700000,3032.0699,2903.1188,24355687.600000,1,1,1
2018-08-31,2018q2,600015.XSHG,2018q2,1,145599800.950000,993.7582,993.7582,28148662.800000,1,1,1
2018-08-31,2018q2,600036.XSHG,2018q2,1,980362346.250000,7134.6943,5835.9284,47974740.550000,1,1,1
