rebalance_date,quarter_key,code,active_quarter_key,avg_traded_amount_lookback,avg_traded_volume_lookback,market_cap,circulating_market_cap,y_quarter_avg_daily_return_close,y_quarter_end_date,y_year_avg_daily_return_close,y_year_end_date,derived__log_total_assets,derived__staff_cash_to_operating_revenue,derived__investment_income_to_operating_revenue
2020-05-06,2020q1,601838.XSHG,2020q1,94423995.501500,16546070.900000,280.3107,146.9901,0.0042804581,2020-09-01,0.0020253965,2021-09-01,27.0742032836,0.2818871235,0.1522979375
2020-05-06,2020q1,601916.XSHG,2020q1,97124834.697500,33196473.650000,865.636,84.15,0.0010411276,2020-09-01,-0.0000469084,2021-09-01,28.2340062183,0.2121750929,0.2417813551
2020-05-06,2020q1,601939.XSHG,2020q1,329877288.488500,73420969.200000,15850.696,608.2379,0.0004455479,2020-09-01,0.0002154887,2021-09-01,30.9309298657,0.1275579646,0.0212660283
2020-05-06,2020q1,601988.XSHG,2020q1,259561580.011000,106157112.550000,10156.3788,7271.4103,0.0000600831,2020-09-01,0.0000276095,2021-09-01,30.8101012944,0.1967982391,0.0629414068
2020-05-06,2020q1,601997.XSHG,2020q1,122010326.263500,22230395.750000,253.5807,241.9034,0.0011149497,2020-09-01,-0.0001161714,2021-09-01,27.0599691624,0.1812305630,0.1064093230
2020-05-06,2020q1,601998.XSHG,2020q1,75791034.599500,21160045.650000,2520.1431,1643.117,0.0009164757,2020-09-01,0.0000994357,2021-09-01,29.5815539923,0.1582247763,0.0867615368
2020-09-01,2020q2,002142.XSHE,2020q2,1436932382.592500,50637611.300000,2080.576,1946.4864,-0.0003503390,2020-11-02,0.0008554143,2021-11-01,28.0434422421,0.1793544394,0.0845174576
2020-09-01,2020q2,002958.XSHE,2020q2,521540758.489500,104436661.300000,293.8889,142.4168,-0.0030055831,2020-11-02,-0.0008745551,2021-11-01,26.6527217720,0.1358904930,0.1607272438
2020-09-01,2020q2,002966.XSHE,2020q2,280996791.009000,47212349.700000,276.0,134.5165,-0.0027706624,2020-11-02,-0.0004468874,2021-11-01,26.6645988235,0.1334361740,0.2490228071
2020-09-01,2020q2,600000.XSHG,2020q2,527857146.375500,61990458.600000,3020.3344,2891.8826,-0.0025552684,2020-11-02,-0.0003129115,2021-11-01,29.6487336527,0.0976447818,0.1635604463
2020-09-01,2020q2,600015.XSHG,2020q2,210859763.994500,44424275.600000,981.7049,818.0874,-0.0011565292,2020-11-02,-0.0001943727,2021-11-01,28.8144692223,0.1384083045,0.0304748405
2020-09-01,2020q2,600016.XSHG,2020q2,647002593.117000,154435095.050000,2434.3025,1971.6941,-0.0020103175,2020-11-02,-0.0010431406,2021-11-01,29.5971037118,0.1169451563,0.0439569452
2020-09-01,2020q2,600036.XSHG,2020q2,3642148136.478000,124442301.250000,9437.2662,7719.351,0.0022219596,2020-11-02,0.0016450399,2021-11-01,29.7144330153,0.1237630662,0.0750522648
2020-09-01,2020q2,600919.XSHG,2020q2,392543779.778500,89094603.050000,750.3931,742.9674,-0.0018810581,2020-11-02,0.0006167635,2021-11-01,28.4309838176,0.1059472514,0.2425328372
2020-09-01,2020q2,600926.XSHG,2017q4,668866737.515000,71727611.850000,761.4377,644.8663,0.0024992483,2020-11-02,0.0010034784,2021-11-01,27.4487060327,0.1555911174,0.1402610484
2020-09-01,2020q2,601009.XSHG,2020q2,756583328.830000,119250859.100000,844.5922,715.8983,-0.0024896504,2020-11-02,0.0009717646,2021-11-01,28.0128484174,0.2052814301,0.2038963753
2020-09-01,2020q2,601077.XSHG,2020q2,200871897.663500,53250002.850000,591.6997,70.6997,-0.0042214611,2020-11-02,-0.0008276412,2021-11-01,27.7011421256,0.1815854987,0.0380773050
2020-09-01,2020q2,601166.XSHG,2020q2,1933676716.142500,167089529.500000,3396.5802,3207.0935,0.0024244797,2020-11-02,0.0009203212,2021-11-01,29.6516878941,0.1241383468,0.1182901586
2020-09-01,2020q2,601169.XSHG,2020q2,294463031.609000,81569657.100000,1027.549,886.8533,-0.0008256529,2020-11-02,-0.0000236140,2021-11-01,28.6900658313,0.1062442967,0.0904706036
2020-09-01,2020q2,601229.XSHG,2020q2,219266060.363500,37014571.900000,1190.5071,1139.3568,-0.0017327096,2020-11-02,-0.0002327917,2021-11-01,28.5015733537,0.0795848455,0.2327127624
2020-09-01,2020q2,601288.XSHG,2020q2,670104971.728000,286787971.550000,11234.4554,9439.1749,-0.0002164614,2020-11-02,-0.0000397694,2021-11-01,30.9071134841,0.1673356683,-0.0225033778
2020-09-01,2020q2,601328.XSHG,2020q2,649541831.193000,188658210.600000,3505.2007,1852.6408,-0.0010446517,2020-11-02,0.0002729201,2021-11-01,29.9984508082,0.0565356727,0.0963356209
2020-09-01,2020q2,601398.XSHG,2020q2,1082553042.134500,295355682.500000,17677.7504,13372.7657,0.0000931556,2020-11-02,0.0000918013,2021-11-01,31.1309171724,0.1148832610,0.0318227175
2020-09-01,2020q2,601577.XSHG,2020q2,307414307.716000,41778736.950000,315.8094,91.8692,-0.0005208360,2020-11-02,-0.0001866929,2021-11-01,27.2009755033,0.1329944842,0.1192861840
2020-09-01,2020q2,601658.XSHG,2020q2,329135433.847000,91485899.700000,4027.1074,179.6034,0.0004844366,2020-11-02,0.0010134661,2021-11-01,30.0258376543,0.1621300977,0.0386113920
2020-09-01,2020q2,601818.XSHG,2020q2,656163173.487000,229993704.400000,2015.5906,1528.7271,0.0005990943,2020-11-02,-0.0000160051,2021-11-01,29.3152759206,0.1051452211,0.0340429199
2020-09-01,2020q2,601838.XSHG,2020q2,930039529.024500,117516103.550000,369.5333,193.8416,0.0007304231,2020-11-02,0.0012704408,2021-11-01,27.1443270775,0.0964400895,0.1302759358
2020-09-01,2020q2,601916.XSHG,2020q2,312488293.830000,97837522.200000,882.6509,105.825,-0.0011068900,2020-11-02,-0.0004725097,2021-11-01,28.3194602309,0.1205753488,0.1712064136
2020-09-01,2020q2,601939.XSHG,2020q2,514548833.296500,111194253.700000,15500.6806,594.8068,0.0003423911,2020-11-02,0.0001656153,2021-11-01,30.9508365908,0.1245423284,0.0357512492
2020-09-01,2020q2,601988.XSHG,2020q2,474407615.352000,192970817.050000,9567.6032,6849.8792,-0.0002122064,2020-11-02,0.0000760670,2021-11-01,30.8154237085,0.1334699573,-0.0226301561
