code,statement_family,report_period_end,quarter_key,year_key,pub_date,standard_field_name,standard_value,source_table,source_field,period_basis,transformation_rule,missing_reason
601998.XSHG,income,2018-03-31,2018q1,,2018-04-27,interest_expense,30771000000.0,finance_income_statement_current_only.csv,interest_expense,single_quarter,identity_q1_or_ytd_diff,
601998.XSHG,income,2018-03-31,2018q1,,2018-04-27,commission_income,11614000000.0,finance_income_statement_current_only.csv,commission_income,single_quarter,identity_q1_or_ytd_diff,
601998.XSHG,income,2018-03-31,2018q1,,2018-04-27,commission_expense,1141000000.0,finance_income_statement_current_only.csv,commission_expense,single_quarter,identity_q1_or_ytd_diff,
601998.XSHG,income,2018-03-31,2018q1,,2018-04-27,asset_impairment_loss,12457000000.0,finance_income_statement_current_only.csv,asset_impairment_loss,single_quarter,identity_q1_or_ytd_diff,
601998.XSHG,income,2018-03-31,2018q1,,2018-04-27,credit_impairment_loss,,finance_income_statement_current_only.csv,credit_impairment_loss,,identity_q1_or_ytd_diff,missing_raw_value
601998.XSHG,income,2018-03-31,2018q1,,2018-04-27,investment_income,8721000000.0,finance_income_statement_current_only.csv,investment_income,single_quarter,identity_q1_or_ytd_diff,
601998.XSHG,income,2018-03-31,2018q1,,2018-04-27,operating_profit,15744000000.0,finance_income_statement_current_only.csv,operating_profit,single_quarter,identity_q1_or_ytd_diff,
601998.XSHG,income,2018-03-31,2018q1,,2018-04-27,total_profit,15746000000.0,finance_income_statement_current_only.csv,total_profit,single_quarter,identity_q1_or_ytd_diff,
601998.XSHG,income,2018-03-31,2018q1,,2018-04-27,income_tax_expense,3317000000.0,finance_income_statement_current_only.csv,income_tax_expense,single_quarter,identity_q1_or_ytd_diff,
601998.XSHG,income,2018-03-31,2018q1,,2018-04-27,net_profit,12429000000.0,finance_income_statement_current_only.csv,net_profit,single_quarter,identity_q1_or_ytd_diff,
601998.XSHG,income,2018-03-31,2018q1,,2018-04-27,np_parent_company_owners,12166000000.0,finance_income_statement_current_only.csv,np_parent_company_owners,single_quarter,identity_q1_or_ytd_diff,
601998.XSHG,income,2018-03-31,2018q1,,2018-04-27,minority_profit,263000000.0,finance_income_statement_current_only.csv,minority_profit,single_quarter,identity_q1_or_ytd_diff,
601998.XSHG,income,2018-06-30,2018q2,,2018-08-28,operating_revenue,41414000000.0,finance_income_statement_current_only.csv,operating_revenue,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2018-06-30,2018q2,,2018-08-28,interest_income,57397000000.0,finance_income_statement_current_only.csv,interest_income,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2018-06-30,2018q2,,2018-08-28,interest_expense,31800000000.0,finance_income_statement_current_only.csv,interest_expense,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2018-06-30,2018q2,,2018-08-28,commission_income,12665000000.0,finance_income_statement_current_only.csv,commission_income,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2018-06-30,2018q2,,2018-08-28,commission_expense,1276000000.0,finance_income_statement_current_only.csv,commission_expense,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2018-06-30,2018q2,,2018-08-28,asset_impairment_loss,13704000000.0,finance_income_statement_current_only.csv,asset_impairment_loss,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2018-06-30,2018q2,,2018-08-28,credit_impairment_loss,,finance_income_statement_current_only.csv,credit_impairment_loss,,identity_q1_or_ytd_diff,missing_raw_value
601998.XSHG,income,2018-06-30,2018q2,,2018-08-28,investment_income,2977000000.0,finance_income_statement_current_only.csv,investment_income,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2018-06-30,2018q2,,2018-08-28,operating_profit,16663000000.0,finance_income_statement_current_only.csv,operating_profit,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2018-06-30,2018q2,,2018-08-28,total_profit,16696000000.0,finance_income_statement_current_only.csv,total_profit,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2018-06-30,2018q2,,2018-08-28,income_tax_expense,2950000000.0,finance_income_statement_current_only.csv,income_tax_expense,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2018-06-30,2018q2,,2018-08-28,net_profit,13746000000.0,finance_income_statement_current_only.csv,net_profit,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2018-06-30,2018q2,,2018-08-28,np_parent_company_owners,13555000000.0,finance_income_statement_current_only.csv,np_parent_company_owners,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2018-06-30,2018q2,,2018-08-28,minority_profit,191000000.0,finance_income_statement_current_only.csv,minority_profit,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2018-09-30,2018q3,,2018-10-26,operating_revenue,40332000000.0,finance_income_statement_current_only.csv,operating_revenue,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2018-09-30,2018q3,,2018-10-26,interest_income,60342000000.0,finance_income_statement_current_only.csv,interest_income,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2018-09-30,2018q3,,2018-10-26,interest_expense,33290000000.0,finance_income_statement_current_only.csv,interest_expense,converted_from_ytd,identity_q1_or_ytd_diff,
