factor_name,factor_family,layer,direction,target_label,train_rank_ic_mean,test_rank_ic_mean,train_positive_ic_ratio,test_positive_ic_ratio,train_top_minus_bottom,test_top_minus_bottom,keep_flag,keep_reason,priority_score,fold_id,train_anchor_years
bank_indicator__deposit_loan_ratio,bank_indicator,base_core,smaller_better,y_year_avg_daily_return_close,0.17164,0.232858,0.8,1.0,0.00025092,0.00039556,1,pass_train_ic_and_test_ic_positive_ratio_and_structure|selected_after_layer_caps,242.858396,expanding_02,6
bank_indicator__capital_adequacy_ratio,bank_indicator,base_core,larger_better,y_year_avg_daily_return_close,0.143941,0.194969,0.6,0.833333,0.00025901,0.00029798,1,pass_train_ic_and_test_ic_positive_ratio_and_structure|selected_after_layer_caps,203.302628,expanding_02,6
improve__annual_delta__bank_indicator__Nonperforming_loan_rate,improvement_bank_indicator,improvement_layer,smaller_better,y_year_avg_daily_return_close,0.142511,-0.103876,0.705882,0.5,0.00019343,-0.00018266,0,fail_threshold_rule,-98.876183,expanding_02,6
improve__snapshot_delta__derived__investment_income_to_operating_revenue,improvement_derived,improvement_layer,smaller_better,y_quarter_avg_daily_return_close,0.062863,0.043069,0.555556,0.5,0.00026304,0.00013616,1,pass_train_ic_and_test_ic_positive_ratio_and_structure|selected_after_layer_caps,48.069136,expanding_02,6
bank_indicator__non_interest_income_ratio,bank_indicator,watch_layer,larger_better,y_year_avg_daily_return_close,0.045044,-0.096074,0.6,0.5,0.00010327,-0.00025389,0,fail_threshold_rule,-91.074254,expanding_02,6
bank_indicator__net_interest_margin,bank_indicator,watch_layer,larger_better,y_year_avg_daily_return_close,0.189919,-0.347375,0.8,0.0,0.00020772,-0.0005245,0,fail_threshold_rule,-347.375524,expanding_02,6
indicator__inc_net_profit_to_shareholders_annual,indicator,watch_layer,larger_better,y_quarter_avg_daily_return_close,0.054394,0.009777,0.578947,0.666667,-5.678e-05,-0.0001469,0,fail_threshold_rule,16.443523,expanding_02,6
bank_indicator__cost_to_income_ratio,bank_indicator,watch_layer,smaller_better,y_year_avg_daily_return_close,0.02499,0.013889,0.5,0.5,3.668e-05,-9.25e-06,0,fail_threshold_rule,18.888991,expanding_02,6
bank_indicator__core_level_capital_adequacy_ratio,bank_indicator,watch_layer,larger_better,y_year_avg_daily_return_close,0.0602,0.080215,0.5,0.666667,0.00011843,-1.715e-05,1,pass_train_ic_and_test_ic_positive_ratio_and_structure|selected_after_layer_caps,86.881653,expanding_02,6
derived__investment_income_to_operating_revenue,derived,watch_layer,larger_better,y_quarter_avg_daily_return_close,0.023399,0.001614,0.526316,0.333333,5.711e-05,0.00016088,0,fail_threshold_rule,4.947491,expanding_02,6
improve__annual_delta__bank_indicator__capital_adequacy_ratio,improvement_bank_indicator,improvement_layer,smaller_better,y_year_avg_daily_return_close,0.208539,0.098454,0.705882,0.666667,0.00020269,0.00027175,1,pass_train_ic_and_test_ic_positive_ratio_and_structure|selected_after_layer_caps,105.120942,expanding_02,6
improve__season_yoy_delta__derived__staff_cash_to_operating_revenue,improvement_derived,improvement_layer,smaller_better,y_quarter_avg_daily_return_close,0.085284,0.018059,0.6,0.5,0.00043054,6.53e-06,0,pass_train_ic_and_test_ic_positive_ratio_and_structure|dropped_by_layer_caps,23.059007,expanding_02,6
improve__snapshot_delta__indicator__inc_net_profit_to_shareholders_annual,improvement_indicator,improvement_layer,smaller_better,y_quarter_avg_daily_return_close,0.038924,0.000574,0.555556,0.333333,8.389e-05,0.0003532,0,fail_threshold_rule,3.907683,expanding_02,6
improve__snapshot_delta__indicator__eps,improvement_indicator,improvement_layer,smaller_better,y_quarter_avg_daily_return_close,0.031171,0.030063,0.722222,0.666667,0.00024199,0.00026304,0,pass_train_ic_and_test_ic_positive_ratio_and_structure|dropped_by_layer_caps,36.729933,expanding_02,6
indicator__roe,indicator,base_core,larger_better,y_quarter_avg_daily_return_close,0.128195,-0.011317,0.681818,0.666667,-0.00036175,1.755e-05,0,fail_threshold_rule,-4.650312,expanding_03,7
indicator__eps,indicator,base_core,larger_better,y_quarter_avg_daily_return_close,0.123297,-0.235476,0.636364,0.166667,0.00044331,-0.000679,0,fail_threshold_rule,-233.810009,expanding_03,7
derived__log_total_assets,derived,base_core,larger_better,y_quarter_avg_daily_return_close,0.094632,0.182425,0.636364,0.833333,0.00061527,0.00046761,1,pass_train_ic_and_test_ic_positive_ratio_and_structure|selected_after_layer_caps,190.758798,expanding_03,7
