code,statement_family,report_period_end,quarter_key,year_key,pub_date,standard_field_name,standard_value,source_table,source_field,period_basis,transformation_rule,missing_reason
601825.XSHG,indicator,2022-06-30,2022q2,,2022-08-19,adjusted_profit_to_profit,99.68,indicator.csv,adjusted_profit_to_profit,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-06-30,2022q2,,2022-08-19,goods_sale_and_service_to_revenue,,indicator.csv,goods_sale_and_service_to_revenue,,identity_q1_or_ytd_diff,missing_raw_value
601825.XSHG,indicator,2022-06-30,2022q2,,2022-08-19,ocf_to_revenue,129.51,indicator.csv,ocf_to_revenue,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-06-30,2022q2,,2022-08-19,ocf_to_operating_profit,248.35,indicator.csv,ocf_to_operating_profit,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-06-30,2022q2,,2022-08-19,inc_total_revenue_year_on_year,5.14,indicator.csv,inc_total_revenue_year_on_year,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-06-30,2022q2,,2022-08-19,inc_total_revenue_annual,2.41,indicator.csv,inc_total_revenue_annual,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-06-30,2022q2,,2022-08-19,inc_revenue_year_on_year,5.14,indicator.csv,inc_revenue_year_on_year,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-06-30,2022q2,,2022-08-19,inc_revenue_annual,2.41,indicator.csv,inc_revenue_annual,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-06-30,2022q2,,2022-08-19,inc_operation_profit_year_on_year,-0.6,indicator.csv,inc_operation_profit_year_on_year,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-06-30,2022q2,,2022-08-19,inc_operation_profit_annual,-13.51,indicator.csv,inc_operation_profit_annual,quarterly_direct,identity_q1_or_ytd_diff,
