trade_seq,code,display_name,listed_start,listed_days,listed_trading_days,open,close,high,low,volume,money,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio,daily_return_close,mom_1m,mom_3m,mom_6m,mom_12m,mom_12_1,mom_6_1,liq_money_1m,liq_turnover_1m,price_history_1m_ready,price_history_3m_ready,price_history_6m_ready,price_history_12m_ready,price_history_12_1_ready,liquidity_1m_ready,momentum_core_ready_v1,rebalance_date,quarter_key,next_rebalance_date,next_rebalance_close,y_quarter_total_return_close,y_quarter_avg_daily_return_close,avg_money_20d_pre_rebalance,avg_market_cap_20d_pre_rebalance,liquidity_top_80_flag,market_cap_top_80_flag,rebalance_stock_pool_flag
1142,601328.XSHG,交通银行,2007-05-15,4129,1142,3.62,3.65,3.65,3.62,74687209.0,271782479.0,0.1228,4195.8441,2217.6738,5.826,0.6949,0.0055096418732782,0.0195530726256982,-0.0054495912806539,-0.0806045340050378,-0.0806045340050378,-0.0982367758186398,-0.0982367758186398,267595987.7,0.122345,1,1,1,1,1,1,1,2018-09-03,2018q2,2018-11-01,3.81,0.043835616438356206,0.001259418963770746,267595987.7,4130.492865,1,1,1
1142,601398.XSHG,工商银行,2006-10-27,4329,1142,3.61,3.62,3.64,3.59,163644392.0,591034971.0,0.0404,19352.8598,14639.9431,6.5939,0.9248,0.0,-0.0136239782016348,0.0168539325842695,-0.1234866828087166,-0.0372340425531914,-0.0239361702127659,-0.1113801452784503,809683306.85,0.055415,1,1,1,1,1,1,1,2018-09-03,2018q2,2018-11-01,3.71,0.024861878453038555,0.0008057372870977107,809683306.85,19356.423824999998,1,1,1
1142,601818.XSHG,光大银行,2010-08-18,2938,1142,2.45,2.45,2.47,2.43,81727461.0,200140387.0,0.1358,1942.1028,1472.9896,5.9426,0.7218,-0.0080971659919028,0.0381355932203391,-0.0040650406504064,-0.0925925925925925,-0.064885496183206,-0.0992366412213741,-0.125925925925926,199177750.25,0.138825,1,1,1,1,1,1,1,2018-09-03,2018q2,2018-11-01,2.65,0.08163265306122436,0.0022595946461072868,199177750.25,1885.1519349999999,1,1,1
1142,601838.XSHG,成都银行,2018-01-31,215,144,6.4,6.35,6.43,6.23,26550206.0,168100170.0,5.3154,317.1557,31.7156,7.2422,1.1112,-0.0155038759689922,-0.0334855403348555,-0.1487935656836461,-0.3097826086956521,,,-0.2858695652173912,261016604.2,8.076795,1,1,1,0,0,1,0,2018-09-03,2018q2,2018-11-01,6.3,-0.007874015748031482,0.00011959528186438393,261016604.2,320.46087,1,1,1
1142,601939.XSHG,建设银行,2007-09-25,3996,1142,4.67,4.67,4.73,4.64,101556999.0,474967010.0,0.7192,17200.7553,660.0436,6.8542,0.9725,0.0,-0.0021367521367521,0.0218818380743981,-0.1188679245283018,0.0241228070175438,0.0263157894736842,-0.1169811320754716,525602015.9,0.808835,1,1,1,1,1,1,1,2018-09-03,2018q2,2018-11-01,4.82,0.032119914346895095,0.001071015728250078,525602015.9,16946.99411,1,1,1
1142,601988.XSHG,中国银行,2006-07-05,4443,1142,2.37,2.37,2.37,2.35,107371581.0,253800114.0,0.034,10450.7666,7482.1758,5.8777,0.7322,0.0,0.0128205128205129,0.0,-0.1056603773584905,-0.1123595505617977,-0.1235955056179776,-0.1169811320754716,309583775.9,0.041735,1,1,1,1,1,1,1,2018-09-03,2018q2,2018-11-01,2.45,0.03375527426160341,0.0009888221475357216,309583775.9,10365.39414,1,1,1
1142,601997.XSHG,贵阳银行,2016-08-16,748,501,5.84,5.79,5.86,5.76,21676640.0,125666910.0,0.8617,270.3144,145.7023,5.5087,0.9905,-0.0119453924914676,0.0034662045060658,-0.0780254777070064,-0.2079343365253078,-0.2217741935483871,-0.2244623655913979,-0.2106703146374828,91183624.8,0.61566,1,1,1,1,1,1,1,2018-09-03,2018q2,2018-11-01,5.84,0.008635578583765069,0.00043021511170105673,91183624.8,273.785275,1,1,1
1142,601998.XSHG,中信银行,2007-04-27,4147,1142,4.02,4.01,4.04,3.99,18555187.0,74475344.0,0.039,2926.3008,1907.9288,6.6092,0.7782,0.0,0.020356234096692,0.0050125313283206,-0.0717592592592594,-0.04066985645933,-0.0598086124401913,-0.0902777777777777,79328872.65,0.04209,1,1,1,1,1,1,1,2018-09-03,2018q2,2018-11-01,3.93,-0.01995012468827917,-0.00041884497359661606,79328872.65,2881.77017,0,1,0
1142,603323.XSHG,苏农银行,2016-11-29,643,433,3.69,3.71,3.73,3.63,15652619.0,57685200.0,1.4878,93.1118,39.0255,11.6598,1.0687,0.005420054200542,-0.0185185185185184,-0.0438144329896906,-0.2413087934560326,-0.4395770392749245,-0.4290030211480363,-0.2269938650306748,89406072.9,2.297945,1,1,1,1,1,1,1,2018-09-03,2018q2,2018-11-01,3.67,-0.010781671159029615,2.271326971659746e-05,89406072.9,92.199525,1,0,0
1179,000001.XSHE,平安银行,1991-04-03,10074,1179,8.54,8.42,8.59,8.36,198515258.0,1679443449.71,0.8985,1859.5556,1859.5377,7.5925,0.8638,-0.0070754716981132,0.0083832335329341,0.1842475386779183,-0.0011862396204033,-0.0767543859649122,-0.0844298245614034,-0.0094899169632265,1680979213.096,0.915965,1,1,1,1,1,1,1,2018-11-01,2018q3,2019-05-06,10.0,0.18764845605700708,0.001649192385350342,1680979213.096,1830.5375649999999,1,1,1
