fold_id,candidate_name,rebalance_date,train_start,validation_start,validation_end,formula,universe_count,state_score,low_cut,high_cut,state_bucket,fundamental_budget,momentum_budget,portfolio_return,invested_weight,cash_weight,fundamental_stock_count,momentum_stock_count,final_stock_count,overlap_stock_count
fold_01,breadth_only,2019-11-01,2013-11-01,2018-11-01,2019-11-01,- 1.0*deterioration_ratio,14,-0.814015,-0.315637,0.760228,weak_down,1.0,0.0,-0.0006859661,0.7,0.3,14,0,14,0
fold_01,severe_breadth_only,2019-11-01,2013-11-01,2018-11-01,2019-11-01,- 1.0*severe_deterioration_ratio,14,0.63617,-0.433721,0.884993,neutral_flat,0.8,0.2,-0.0008932125,0.9,0.1,14,14,14,14
fold_01,delta_mean_only,2019-11-01,2013-11-01,2018-11-01,2019-11-01,+ 1.0*score_delta_mean,14,-0.899355,-0.301595,0.484785,weak_down,1.0,0.0,-0.0006859661,0.7,0.3,14,0,14,0
fold_01,delta_median_only,2019-11-01,2013-11-01,2018-11-01,2019-11-01,+ 1.0*score_delta_median,14,-0.839962,-0.499993,0.257937,weak_down,1.0,0.0,-0.0006859661,0.7,0.3,14,0,14,0
fold_01,bottom_quartile_only,2019-11-01,2013-11-01,2018-11-01,2019-11-01,+ 1.0*score_delta_bottom_quartile_mean,14,-1.139176,-0.543024,0.453242,weak_down,1.0,0.0,-0.0006859661,0.7,0.3,14,0,14,0
fold_01,top_bottom_spread_only,2019-11-01,2013-11-01,2018-11-01,2019-11-01,+ 1.0*score_delta_top_bottom_spread,14,0.417593,-0.681512,0.405892,strong_up,0.6,0.4,-0.0009460834,0.932308,0.067692,14,14,14,14
fold_01,breadth_plus_mean,2019-11-01,2013-11-01,2018-11-01,2019-11-01,- 1.0*deterioration_ratio + 1.0*score_delta_mean,14,-0.858396,-0.260072,0.598636,weak_down,1.0,0.0,-0.0006859661,0.7,0.3,14,0,14,0
fold_01,breadth_plus_median,2019-11-01,2013-11-01,2018-11-01,2019-11-01,- 1.0*deterioration_ratio + 1.0*score_delta_median,14,-0.838812,-0.376215,0.681223,weak_down,1.0,0.0,-0.0006859661,0.7,0.3,14,0,14,0
fold_01,breadth_plus_bottom,2019-11-01,2013-11-01,2018-11-01,2019-11-01,- 1.0*deterioration_ratio + 1.0*score_delta_bottom_quartile_mean,14,-1.18621,-0.276944,0.405134,weak_down,1.0,0.0,-0.0006859661,0.7,0.3,14,0,14,0
fold_01,severe_plus_mean,2019-11-01,2013-11-01,2018-11-01,2019-11-01,- 1.0*severe_deterioration_ratio + 1.0*score_delta_mean,14,-0.51722,-0.687044,0.740997,neutral_flat,0.8,0.2,-0.0008932125,0.9,0.1,14,14,14,14
fold_01,severe_plus_bottom,2019-11-01,2013-11-01,2018-11-01,2019-11-01,- 1.0*severe_deterioration_ratio + 1.0*score_delta_bottom_quartile_mean,14,-0.901212,-0.383766,0.67456,weak_down,1.0,0.0,-0.0006859661,0.7,0.3,14,0,14,0
fold_01,mean_plus_bottom,2019-11-01,2013-11-01,2018-11-01,2019-11-01,+ 1.0*score_delta_mean + 1.0*score_delta_bottom_quartile_mean,14,-1.199978,-0.768465,0.641728,weak_down,1.0,0.0,-0.0006859661,0.7,0.3,14,0,14,0
fold_01,median_plus_bottom,2019-11-01,2013-11-01,2018-11-01,2019-11-01,+ 1.0*score_delta_median + 1.0*score_delta_bottom_quartile_mean,14,-1.126075,-0.756006,0.324203,weak_down,1.0,0.0,-0.0006859661,0.7,0.3,14,0,14,0
fold_01,breadth_mean_bottom,2019-11-01,2013-11-01,2018-11-01,2019-11-01,- 1.0*deterioration_ratio + 1.0*score_delta_mean + 1.0*score_delta_bottom_quartile_mean,14,-1.127,-0.228434,0.425327,weak_down,1.0,0.0,-0.0006859661,0.7,0.3,14,0,14,0
fold_01,breadth_median_bottom,2019-11-01,2013-11-01,2018-11-01,2019-11-01,- 1.0*deterioration_ratio + 1.0*score_delta_median + 1.0*score_delta_bottom_quartile_mean,14,-1.132359,-0.332498,0.523265,weak_down,1.0,0.0,-0.0006859661,0.7,0.3,14,0,14,0
fold_01,breadth_mean_stdneg,2019-11-01,2013-11-01,2018-11-01,2019-11-01,- 1.0*deterioration_ratio + 1.0*score_delta_mean - 1.0*score_delta_std,14,-1.074234,-0.409263,0.572448,weak_down,1.0,0.0,-0.0006859661,0.7,0.3,14,0,14,0
fold_02,fixed_blend_60_40,2019-09-02,2014-09-01,2019-09-02,2020-09-01,fixed_60_40,13,<NA>,<NA>,<NA>,fixed,0.6,0.4,0.0023208015,0.905455,0.094545,13,13,13,13
fold_02,v1_base,2019-09-02,2014-09-01,2019-09-02,2020-09-01,- 1.0*deterioration_ratio + 1.0*score_delta_mean + 1.0*score_delta_bottom_quartile_mean,13,1.496142,-0.610163,0.604292,strong_up,0.6,0.4,0.0023208015,0.905455,0.094545,13,13,13,13
fold_02,breadth_only,2019-09-02,2014-09-01,2019-09-02,2020-09-01,- 1.0*deterioration_ratio,13,1.604868,-0.33596,0.431055,strong_up,0.6,0.4,0.0023208015,0.905455,0.094545,13,13,13,13
fold_02,severe_breadth_only,2019-09-02,2014-09-01,2019-09-02,2020-09-01,- 1.0*severe_deterioration_ratio,13,0.722971,-0.340829,0.62605,strong_up,0.6,0.4,0.0023208015,0.905455,0.094545,13,13,13,13
fold_02,delta_mean_only,2019-09-02,2014-09-01,2019-09-02,2020-09-01,+ 1.0*score_delta_mean,13,1.222988,-0.912642,0.709208,strong_up,0.6,0.4,0.0023208015,0.905455,0.094545,13,13,13,13
fold_02,delta_median_only,2019-09-02,2014-09-01,2019-09-02,2020-09-01,+ 1.0*score_delta_median,13,1.016939,-0.275906,-0.016648,strong_up,0.6,0.4,0.0023208015,0.905455,0.094545,13,13,13,13
fold_02,bottom_quartile_only,2019-09-02,2014-09-01,2019-09-02,2020-09-01,+ 1.0*score_delta_bottom_quartile_mean,13,0.507649,-0.206619,0.556596,neutral_flat,0.8,0.2,0.0021474162,0.85,0.15,13,13,13,13
fold_02,top_bottom_spread_only,2019-09-02,2014-09-01,2019-09-02,2020-09-01,+ 1.0*score_delta_top_bottom_spread,13,0.596048,-0.735817,0.373466,strong_up,0.6,0.4,0.0023208015,0.905455,0.094545,13,13,13,13
fold_02,breadth_plus_mean,2019-09-02,2014-09-01,2019-09-02,2020-09-01,- 1.0*deterioration_ratio + 1.0*score_delta_mean,13,1.548836,-0.420427,0.392243,strong_up,0.6,0.4,0.0023208015,0.905455,0.094545,13,13,13,13
fold_02,breadth_plus_median,2019-09-02,2014-09-01,2019-09-02,2020-09-01,- 1.0*deterioration_ratio + 1.0*score_delta_median,13,1.462609,-0.325294,0.294139,strong_up,0.6,0.4,0.0023208015,0.905455,0.094545,13,13,13,13
fold_02,breadth_plus_bottom,2019-09-02,2014-09-01,2019-09-02,2020-09-01,- 1.0*deterioration_ratio + 1.0*score_delta_bottom_quartile_mean,13,1.570184,-0.484731,0.548099,strong_up,0.6,0.4,0.0023208015,0.905455,0.094545,13,13,13,13
