trade_seq,code,display_name,listed_start,listed_days,listed_trading_days,open,close,high,low,volume,money,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio,daily_return_close,mom_1m,mom_3m,mom_6m,mom_12m,mom_12_1,mom_6_1,liq_money_1m,liq_turnover_1m,price_history_1m_ready,price_history_3m_ready,price_history_6m_ready,price_history_12m_ready,price_history_12_1_ready,liquidity_1m_ready,momentum_core_ready_v1,mom_3_1,price_history_3_1_ready,price_history_6_1_ready,price_history_12_1_ready_v2,momentum_monthly_ready_v2,rev_5d,rev_10d,rev_20d,close_to_ma20,intramonth_drawdown_20d,avg_money_20d,avg_turnover_20d,avg_mcap_20d,volatility_20d,down_day_ratio_20d,abnormal_volume_ratio,price_history_5d_ready,price_history_10d_ready,price_history_20d_ready,excess_rev_5d,excess_rev_10d,mean_reversion_ready_v1,month_key,rebalance_date,next_rebalance_date,next_rebalance_close,y_month_total_return_close
1055,601169.XSHG,北京银行,2007-09-19,3878,1055,4.32,4.29,4.32,4.26,38345827.0,164569353.0,0.1325,1439.8372,1242.6895,7.5491,0.8797,0.0,-0.0183066361556064,-0.1062499999999999,-0.0734341252699783,-0.0227790432801821,-0.0045558086560363,-0.0561555075593952,144893980.45,0.11606,1,1,1,1,1,1,1,-0.0895833333333332,1,1,1,1,0.0094117647058824,-0.0023255813953487,-0.0183066361556064,-0.0044093757252261,-0.0337837837837838,144893980.45,0.11606,1444.91152,0.0081649480981165,0.55,1.1357915110682573,1,1,1,0.0034833094355842,0.0002367894282878,1,2018-05,2018-05-02,2018-06-01,4.19,-0.023310023310023187
1055,601229.XSHG,上海银行,2016-11-16,532,355,5.25,5.25,5.29,5.23,59288369.0,311744461.0,0.5494,1193.5045,566.7842,7.5289,0.9077,0.0076775431861804,0.0273972602739724,-0.0295748613678373,-0.1235392320534224,-0.0853658536585366,-0.1097560975609756,-0.1469115191986644,260104736.8,0.4732599999999999,1,1,1,1,1,1,1,-0.0554528650646949,1,1,1,1,0.025390625,0.05,0.0273972602739724,0.0332611690612083,-0.0075614366729678,260104736.8,0.4732599999999999,1154.943955,0.0115220097516052,0.5,1.19853434749136,1,1,1,0.0194621697297018,0.0525623708236366,1,2018-05,2018-05-02,2018-06-01,5.31,0.011428571428571344
1055,601288.XSHG,农业银行,2010-07-15,2848,1055,2.4,2.4,2.42,2.39,468116928.0,1124863895.0,0.0991,12537.0529,11350.5343,6.3968,0.9084,0.0126582278481011,-0.02834008097166,-0.1519434628975265,0.0344827586206897,0.1999999999999999,0.2350000000000001,0.0646551724137933,1250336746.1,0.1109099999999999,1,1,1,1,1,1,1,-0.1272084805653709,1,1,1,1,0.0256410256410257,0.0256410256410257,-0.02834008097166,0.0071338648762064,-0.04,1250336746.1,0.1109099999999999,12433.11881,0.0137662762260053,0.5,0.8996487534327294,1,1,1,0.0197125703707276,0.0282033964646623,1,2018-05,2018-05-02,2018-06-01,2.35,-0.02083333333333326
1055,601328.XSHG,交通银行,2007-05-15,4005,1055,3.8,3.8,3.81,3.76,107135878.0,405834241.0,0.1676,4596.8628,2429.6285,6.4753,0.7618,0.0,-0.0104166666666666,-0.1142191142191142,0.0026385224274405,0.0795454545454545,0.0909090909090908,0.013192612137203,481890388.8,0.19937,1,1,1,1,1,1,1,-0.1048951048951049,1,1,1,1,0.0160427807486629,0.0160427807486629,-0.0104166666666666,0.0064892067275859,-0.0231362467866325,481890388.8,0.19937,4565.672435,0.0088824433286489,0.55,0.8421712705468261,1,1,1,0.0101143254783647,0.0186051515722995,1,2018-05,2018-05-02,2018-06-01,3.69,-0.02894736842105261
1055,601398.XSHG,工商银行,2006-10-27,4205,1055,3.87,3.81,3.88,3.8,269368770.0,1033807846.0,0.0637,21313.0942,16122.8103,7.3731,1.022,-0.0052219321148825,-0.0180412371134019,-0.187633262260128,-0.0180412371134019,0.2742474916387958,0.297658862876254,0.0,1512913959.35,0.09378,1,1,1,1,1,1,1,-0.1727078891257997,1,1,1,1,-0.0078125,0.0269541778975741,-0.0180412371134019,-0.0001312163758037,-0.0522388059701491,1512913959.35,0.09378,21291.709795,0.0172223279571764,0.5,0.6833222997322066,1,1,1,-0.0137409552702981,0.0295165487212107,1,2018-05,2018-05-02,2018-06-01,3.6,-0.055118110236220486
1055,601818.XSHG,光大银行,2010-08-18,2814,1055,2.55,2.53,2.56,2.53,85065771.0,216168841.0,0.1347,2110.0654,1600.3802,6.5905,0.7792,-0.0078431372549019,-0.0193798449612404,-0.159468438538206,-0.0039370078740158,0.0675105485232065,0.0886075949367088,0.0157480314960629,308685571.15,0.1918,1,1,1,1,1,1,1,-0.1428571428571428,1,1,1,1,0.0079681274900398,0.0079681274900398,-0.0193798449612404,-0.0056985655335036,-0.0452830188679245,308685571.15,0.1918,2119.25097,0.0092527005176151,0.5,0.7002881287734593,1,1,1,0.0020396722197416,0.0105304983136764,1,2018-05,2018-05-02,2018-06-01,2.5,-0.011857707509881354
1055,601838.XSHG,成都银行,2018-01-31,91,57,7.53,7.44,7.58,7.39,24651008.0,184104596.0,4.8101,381.0925,38.1093,9.332,1.3399,0.0026954177897575,-0.0534351145038167,,,,,,308111124.1,7.828070000000001,1,0,0,0,0,1,0,,0,0,0,0,0.0136239782016349,-0.0223390275952694,-0.0534351145038167,-0.0218248750986063,-0.0981818181818181,308111124.1,7.828070000000001,389.79804,0.0243705506420584,0.55,0.5975266116657552,1,1,1,0.0076955229313367,-0.0197766567716328,0,2018-05,2018-05-02,2018-06-01,7.87,0.05779569892473124
1055,601939.XSHG,建设银行,2007-09-25,3872,1055,4.93,4.86,4.95,4.8,147228358.0,717010726.0,0.9975,18675.82,716.6462,7.5897,1.0625,0.0,-0.0260521042084168,-0.2161290322580644,0.0588235294117647,0.3170731707317074,0.3523035230352305,0.0871459694989107,1134476212.15,1.569405,1,1,1,1,1,1,1,-0.1951612903225806,1,1,1,1,0.0062111801242237,0.0210084033613446,-0.0260521042084168,-0.0042003893043743,-0.0671785028790786,1134476212.15,1.569405,18769.57412,0.0215506851945673,0.55,0.632019180588334,1,1,1,0.0002827248539255,0.0235707741849812,1,2018-05,2018-05-02,2018-06-01,4.6,-0.053497942386831365
1055,601988.XSHG,中国银行,2006-07-05,4319,1055,2.43,2.42,2.44,2.41,238961397.0,578784874.0,0.072,11216.1748,8030.1661,6.4181,0.7986,0.0,-0.0434782608695651,-0.1768707482993197,-0.0241935483870967,0.1152073732718894,0.1658986175115206,0.0201612903225805,661437812.35,0.081335,1,1,1,1,1,1,1,-0.1394557823129252,1,1,1,1,0.0083333333333333,0.0125523012552299,-0.0434782608695651,-0.0067720090293452,-0.0509803921568626,661437812.35,0.081335,11303.019245,0.0113098939987036,0.4,0.8750404999430782,1,1,1,0.0024048780630351,0.0151146720788665,1,2018-05,2018-05-02,2018-06-01,2.39,-0.012396694214875992
1055,601997.XSHG,贵阳银行,2016-08-16,624,414,6.85,6.55,6.85,6.53,91485860.0,611418886.0,3.5395,314.2175,169.3665,6.6521,1.2071,-0.0534682080924855,-0.0589080459770114,-0.1289893617021276,-0.0813464235624124,-0.0629470672389127,-0.0042918454935623,-0.0238429172510519,206186096.15,1.15313,1,1,1,1,1,1,1,-0.0744680851063829,1,1,1,1,-0.0423976608187134,-0.0493468795355587,-0.0589080459770114,-0.0546976475681916,-0.092797783933518,206186096.15,1.15313,332.20401,0.0158560786787321,0.5,2.965373986979189,1,1,1,-0.0483261160890116,-0.0467845087119221,1,2018-05,2018-05-02,2018-06-01,6.35,-0.03053435114503822
1055,601998.XSHG,中信银行,2007-04-27,4023,1055,4.11,4.21,4.21,4.11,72968171.0,303759367.0,0.147,3205.2292,2089.7882,7.395,0.8621,0.0243309002433089,0.0095923261390886,-0.0985010706638115,0.0631313131313131,0.1502732240437159,0.139344262295082,0.0530303030303029,213528291.4,0.1043849999999999,1,1,1,1,1,1,1,-0.1070663811563169,1,1,1,1,0.0268292682926829,0.0446650124069478,0.0095923261390886,0.0223409422049538,-0.0209302325581395,213528291.4,0.1043849999999999,3135.007735,0.0161003269786699,0.55,1.4225719927247074,1,1,1,0.0209008130223847,0.0472273832305844,1,2018-05,2018-05-02,2018-06-01,4.08,-0.030878859857482177
