fold_id,rebalance_date,validation_start,validation_end,code,fundamental_score,momentum_score,fundamental_weight,momentum_weight,selected_f,selected_m,selection_bucket,forward_return
fold_02,2019-09-02,2019-09-02,2020-09-01,600000.XSHG,-0.2623182007213419,-0.06550493462626766,0.05,0.04545454545454546,1,1,both_selected,0.0032316449
fold_02,2019-09-02,2019-09-02,2020-09-01,600016.XSHG,-0.5628433041880485,-0.517370898978252,0.016666666666666673,0.01363636363636364,1,1,both_selected,0.0013035124
fold_02,2019-09-02,2019-09-02,2020-09-01,600036.XSHG,1.0771111757287137,0.5669713375942751,0.05,0.05,1,1,both_selected,0.0019606886
fold_02,2019-09-02,2019-09-02,2020-09-01,601166.XSHG,-0.01672094690313095,0.45193501968691985,0.05,0.05000000000000001,1,1,both_selected,0.0032472116
fold_02,2019-09-02,2019-09-02,2020-09-01,601169.XSHG,-0.42841298315704546,-0.6356764800358522,0.03333333333333335,0.004545454545454547,1,1,both_selected,0.0016740255
fold_02,2019-09-02,2019-09-02,2020-09-01,601229.XSHG,0.18940594450840337,-0.4934959774997604,0.05,0.018181818181818188,1,1,both_selected,0.001102059
fold_02,2019-09-02,2019-09-02,2020-09-01,601288.XSHG,0.543739253337173,-0.5687205554372954,0.05,0.009090909090909094,1,1,both_selected,0.0019235348
fold_02,2019-09-02,2019-09-02,2020-09-01,601328.XSHG,-0.1666340633515605,-0.4389934515275925,0.05,0.02272727272727273,1,1,both_selected,0.001109482
fold_02,2019-09-02,2019-09-02,2020-09-01,601398.XSHG,0.30792383063864204,-0.35943627145683466,0.05,0.036363636363636376,1,1,both_selected,0.0025669823
fold_02,2019-09-02,2019-09-02,2020-09-01,601818.XSHG,-0.2838339747925478,-0.3787843611679209,0.05000000000000001,0.03181818181818182,1,1,both_selected,0.0050613561
fold_02,2019-09-02,2019-09-02,2020-09-01,601939.XSHG,0.3994506687846543,-0.2302333949530345,0.05,0.04090909090909091,1,1,both_selected,0.0016439147
fold_02,2019-09-02,2019-09-02,2020-09-01,601988.XSHG,0.21940319204318673,-0.38459176279126456,0.05,0.02727272727272728,1,1,both_selected,0.0011911514
fold_02,2019-11-01,2019-09-02,2020-09-01,002142.XSHE,1.182770210428168,1.3174762648166924,0.05,0.05,1,1,both_selected,-0.000479848
fold_02,2019-11-01,2019-09-02,2020-09-01,600000.XSHG,-0.30913692860100295,-0.1943389526514625,0.040000000000000015,0.04230769230769232,1,1,both_selected,-0.0015320304
fold_02,2019-11-01,2019-09-02,2020-09-01,600016.XSHG,-0.926854968266814,-0.5600291613788294,0.010000000000000004,0.015384615384615389,1,1,both_selected,-0.0004355141
fold_02,2019-11-01,2019-09-02,2020-09-01,600036.XSHG,1.0808537483389336,0.19142835374547942,0.05,0.05000000000000001,1,1,both_selected,-0.0004410725
fold_02,2019-11-01,2019-09-02,2020-09-01,600919.XSHG,-0.07786636135127137,-0.23843489536399545,0.05,0.038461538461538464,1,1,both_selected,-0.0015043149
fold_02,2019-11-01,2019-09-02,2020-09-01,601166.XSHG,0.206736807315589,-0.06686546801196293,0.05,0.046153846153846156,1,1,both_selected,-0.0014749075
fold_02,2019-11-01,2019-09-02,2020-09-01,601169.XSHG,-0.6683775154596404,-0.9096627884055674,0.020000000000000007,0.0038461538461538472,1,1,both_selected,-0.0010716752
fold_02,2019-11-01,2019-09-02,2020-09-01,601229.XSHG,0.3407717978485528,-0.4389934515275917,0.05,0.026923076923076928,1,1,both_selected,-0.0010529767
