schedule,rebalance_date,next_rebalance_date,hold_count,turnover_ratio,period_return,selected_codes
daily,2019-04-25,2019-04-26,5,0.6,-0.016123856466394203,"601939.XSHG,601818.XSHG,601328.XSHG,600919.XSHG,600036.XSHG"
daily,2019-04-26,2019-04-29,5,0.6,0.013241089847109722,"601939.XSHG,601998.XSHG,601328.XSHG,601398.XSHG,601288.XSHG"
daily,2019-04-29,2019-04-30,5,0.4,-0.0034166460087177606,"601328.XSHG,601939.XSHG,601988.XSHG,600015.XSHG,601398.XSHG"
daily,2019-04-30,2019-05-06,5,0.4,-0.023664304695149373,"601328.XSHG,601398.XSHG,601818.XSHG,601998.XSHG,601988.XSHG"
daily,2019-05-06,2019-05-07,5,0.6,0.009274561274491177,"601939.XSHG,601818.XSHG,601009.XSHG,601998.XSHG,002142.XSHE"
daily,2019-05-07,2019-05-08,5,0.6,-0.0147712785621128,"601398.XSHG,601939.XSHG,601838.XSHG,601818.XSHG,601328.XSHG"
daily,2019-05-08,2019-05-09,5,0.4,-0.016046109958257927,"601398.XSHG,601838.XSHG,600926.XSHG,002142.XSHE,601328.XSHG"
daily,2019-05-09,2019-05-10,5,0.6,0.015063596343413898,"601838.XSHG,600926.XSHG,601998.XSHG,601818.XSHG,600015.XSHG"
daily,2019-05-10,2019-05-13,5,0.6,-0.008159418265856843,"600926.XSHG,600015.XSHG,601988.XSHG,002142.XSHE,600016.XSHG"
daily,2019-05-13,2019-05-14,5,0.4,-0.004495921413888637,"600926.XSHG,601838.XSHG,600016.XSHG,600015.XSHG,601398.XSHG"
daily,2019-05-14,2019-05-15,5,0.4,0.012731923320573112,"600015.XSHG,601939.XSHG,601009.XSHG,601398.XSHG,601838.XSHG"
daily,2019-05-15,2019-05-16,5,0.4,-0.00042922878452775757,"601998.XSHG,601939.XSHG,601009.XSHG,600015.XSHG,600926.XSHG"
daily,2019-05-16,2019-05-17,5,0.6,-0.02054780975891568,"601838.XSHG,601939.XSHG,601166.XSHG,000001.XSHE,601998.XSHG"
daily,2019-05-17,2019-05-20,5,0.4,-0.012116046617936882,"601166.XSHG,002142.XSHE,601009.XSHG,601838.XSHG,601939.XSHG"
daily,2019-05-20,2019-05-21,5,0.6,0.007660596101164918,"601998.XSHG,600015.XSHG,601166.XSHG,601939.XSHG,600926.XSHG"
daily,2019-05-21,2019-05-22,5,0.4,-0.00392025394866462,"600015.XSHG,600926.XSHG,601838.XSHG,601169.XSHG,601998.XSHG"
daily,2019-05-22,2019-05-23,5,0.19999999999999996,-0.010276086795063111,"600015.XSHG,601838.XSHG,601998.XSHG,600926.XSHG,601229.XSHG"
daily,2019-05-23,2019-05-24,5,0.4,0.006708364004986223,"600015.XSHG,600926.XSHG,600919.XSHG,601997.XSHG,601838.XSHG"
daily,2019-05-24,2019-05-27,5,0.6,0.0018375353627808177,"600919.XSHG,600926.XSHG,601998.XSHG,601166.XSHG,000001.XSHE"
daily,2019-05-27,2019-05-28,5,0.6,0.001451168352336052,"601169.XSHG,601998.XSHG,600926.XSHG,600000.XSHG,601988.XSHG"
daily,2019-05-28,2019-05-29,5,0.6,-0.00522815219370969,"601997.XSHG,601939.XSHG,601988.XSHG,600919.XSHG,600926.XSHG"
daily,2019-05-29,2019-05-30,5,0.6,-0.0072400334020036984,"600015.XSHG,601997.XSHG,601838.XSHG,600926.XSHG,601009.XSHG"
daily,2019-05-30,2019-05-31,5,0.4,-0.0005144307644701307,"600919.XSHG,600926.XSHG,600015.XSHG,600000.XSHG,601838.XSHG"
daily,2019-05-31,2019-06-03,5,0.4,0.002439681626758894,"600919.XSHG,600926.XSHG,600015.XSHG,601997.XSHG,601998.XSHG"
daily,2019-06-03,2019-06-04,5,0.6,-2.85482636945833e-06,"600919.XSHG,600000.XSHG,601988.XSHG,601009.XSHG,600926.XSHG"
daily,2019-06-04,2019-06-05,5,0.4,0.0012336502241829584,"601988.XSHG,600919.XSHG,601998.XSHG,601229.XSHG,600926.XSHG"
daily,2019-06-05,2019-06-06,5,0.4,-0.001284327886067671,"601988.XSHG,600015.XSHG,600919.XSHG,600926.XSHG,600036.XSHG"
daily,2019-06-06,2019-06-10,5,0.6,0.011208843799070056,"601988.XSHG,600919.XSHG,000001.XSHE,601288.XSHG,601009.XSHG"
daily,2019-06-10,2019-06-11,5,0.6,0.013430018225216634,"601988.XSHG,600919.XSHG,601229.XSHG,601997.XSHG,600926.XSHG"
daily,2019-06-11,2019-06-12,5,0.6,-0.00485993439891399,"601988.XSHG,600919.XSHG,601166.XSHG,601288.XSHG,601009.XSHG"
daily,2019-06-12,2019-06-13,5,0.8,-0.0037561266016466143,"601988.XSHG,002142.XSHE,600036.XSHG,601818.XSHG,000001.XSHE"
daily,2019-06-13,2019-06-14,5,0.19999999999999996,-0.006161783559423872,"601009.XSHG,601988.XSHG,002142.XSHE,000001.XSHE,600036.XSHG"
daily,2019-06-14,2019-06-17,5,0.4,0.004567628485282827,"601988.XSHG,000001.XSHE,002142.XSHE,601229.XSHG,601998.XSHG"
daily,2019-06-17,2019-06-18,5,0.8,0.003924818141978137,"601009.XSHG,601988.XSHG,600919.XSHG,601939.XSHG,600926.XSHG"
daily,2019-06-18,2019-06-19,5,0.4,0.00951420899303108,"601009.XSHG,601988.XSHG,600919.XSHG,600015.XSHG,000001.XSHE"
daily,2019-06-19,2019-06-20,5,0.6,0.02640577562215718,"601009.XSHG,601988.XSHG,002142.XSHE,600000.XSHG,601838.XSHG"
daily,2019-06-20,2019-06-21,5,0.6,-0.008180804643397233,"601988.XSHG,601939.XSHG,601166.XSHG,601009.XSHG,601169.XSHG"
daily,2019-06-21,2019-06-24,5,0.6,-0.0026561245533777366,"601009.XSHG,601838.XSHG,000001.XSHE,601328.XSHG,601166.XSHG"
daily,2019-06-24,2019-06-25,5,0.8,-0.01815739201866149,"600015.XSHG,600036.XSHG,000001.XSHE,601229.XSHG,600016.XSHG"
daily,2019-06-25,2019-06-26,5,1.0,-0.0016896497030574275,"601838.XSHG,601169.XSHG,601998.XSHG,601988.XSHG,002142.XSHE"
