id,code,statDate,pubDate,statDate.1,goods_sale_and_service_render_cash,net_deposit_increase,net_borrowing_from_central_bank,net_borrowing_from_finance_co,net_original_insurance_cash,net_cash_received_from_reinsurance_business,net_insurer_deposit_investment,net_deal_trading_assets,interest_and_commission_cashin,net_increase_in_placements,net_buyback,tax_levy_refund,other_cashin_related_operate,subtotal_operate_cash_inflow,goods_and_services_cash_paid,net_loan_and_advance_increase,net_deposit_in_cb_and_ib,original_compensation_paid,handling_charges_and_commission,policy_dividend_cash_paid,staff_behalf_paid,tax_payments,other_operate_cash_paid,subtotal_operate_cash_outflow,net_operate_cash_flow,invest_withdrawal_cash,invest_proceeds,fix_intan_other_asset_dispo_cash,net_cash_deal_subcompany,other_cash_from_invest_act,subtotal_invest_cash_inflow,fix_intan_other_asset_acqui_cash,invest_cash_paid,impawned_loan_net_increase,net_cash_from_sub_company,other_cash_to_invest_act,subtotal_invest_cash_outflow,net_invest_cash_flow,cash_from_invest,cash_from_mino_s_invest_sub,cash_from_borrowing,cash_from_bonds_issue,other_finance_act_cash,subtotal_finance_cash_inflow,borrowing_repayment,dividend_interest_payment,proceeds_from_sub_to_mino_s,other_finance_act_payment,subtotal_finance_cash_outflow,net_finance_cash_flow,exchange_rate_change_effect,cash_equivalent_increase,cash_equivalents_at_beginning,cash_and_equivalents_at_end,requested_period
141979,002142.XSHE,2019-03-31,2019-04-26,2019-03-31,,113456612000.0,,,,,,,8176715000.0,,,,10619045000.0,132252372000.0,,16111002000.0,11240062000.0,,6254044000.0,,3469536000.0,126054000.0,2487129000.0,171285121000.0,-39032749000.0,156563362000.0,2748252000.0,,,,159311614000.0,87307000.0,75544395000.0,,,116496000.0,75748198000.0,83563416000.0,555000.0,,,54020000000.0,,54020555000.0,94660529000.0,,,,94660529000.0,-40639974000.0,-124323000.0,3766370000.0,25573215000.0,29339585000.0,2019q1
149030,002142.XSHE,2019-06-30,2019-08-30,2019-06-30,,4889343000.0,,,,,,,8913745000.0,,,,15552172000.0,37355260000.0,,25579286000.0,2551604000.0,,6592751000.0,,1300742000.0,367363000.0,15120334000.0,-9803687000.0,47158947000.0,8524867000.0,4491927000.0,,,,13016794000.0,217671000.0,43150183000.0,,,36325000.0,43404179000.0,-30387385000.0,3115143000.0,,,33560000000.0,,36675143000.0,40003650000.0,,,,41470726000.0,-4795583000.0,127584000.0,12103563000.0,29339585000.0,41443148000.0,2019q2
158857,002142.XSHE,2019-09-30,2019-10-31,2019-09-30,,19236136000.0,1500000000.0,,,,,,9670375000.0,,,,-18819736000.0,12124858000.0,,28887581000.0,-10581805000.0,,1784474000.0,,1412948000.0,406571000.0,-3056904000.0,-4610718000.0,16735576000.0,23420317000.0,4216906000.0,,,,27637223000.0,1472675000.0,55200827000.0,,,216472000.0,56889974000.0,-29252751000.0,,,,30309000000.0,,27193302000.0,18365821000.0,4981020000.0,,,23346841000.0,3846461000.0,226504000.0,-8444210000.0,41443148000.0,32998938000.0,2019q3
170663,002142.XSHE,2019-12-31,2020-04-25,2019-12-31,,1648247000.0,5065000000.0,,,,,,15716089000.0,,,,-5494928000.0,52129797000.0,,28209565000.0,5126255000.0,,4468891000.0,,1403975000.0,1979064000.0,-6944725000.0,36652940000.0,15476857000.0,1606748272000.0,3888767000.0,,,,1610655345000.0,830864000.0,1658423784000.0,,,,1658885355000.0,-48230010000.0,,,,258620057000.0,,258620057000.0,215855485000.0,818029000.0,,,216674646000.0,41945411000.0,-139444000.0,9052814000.0,32998938000.0,42051752000.0,2019q4
170324,002142.XSHE,2020-03-31,2020-04-25,2020-03-31,,174083594000.0,10400000000.0,,,,,,12816231000.0,155723000.0,,,1167318000.0,198841765000.0,,55997930000.0,11944343000.0,,5103674000.0,,4571806000.0,486351000.0,6947847000.0,139298833000.0,59542932000.0,242296020000.0,3713932000.0,274000.0,,,246010226000.0,199538000.0,253596219000.0,,,,253795757000.0,-7785531000.0,,,,60340000000.0,,60340000000.0,104060000000.0,1387041000.0,,,105447041000.0,-45107041000.0,493905000.0,7144265000.0,42051752000.0,49196017000.0,2020q1
191097,002142.XSHE,2020-06-30,2020-08-29,2020-06-30,,-414911000.0,-9350000000.0,,,,,,13224643000.0,15596908000.0,,,2694686000.0,40071185000.0,,41911204000.0,-2469449000.0,,5823536000.0,,1635920000.0,2340000000.0,2165078000.0,735922000.0,39335263000.0,245332821000.0,3429132000.0,46611000.0,,,248808564000.0,372037000.0,306131917000.0,,,,306503954000.0,-57695390000.0,,,,50840000000.0,,58837547000.0,51630000000.0,1510470000.0,,,53140470000.0,5697077000.0,-404811000.0,-13067861000.0,49196017000.0,36128156000.0,2020q2
194961,002142.XSHE,2020-09-30,2020-10-29,2020-09-30,,22499319000.0,7288870000.0,,,,,,13214360000.0,-9571269000.0,,,-1573426000.0,13466749000.0,,29365459000.0,-2984225000.0,,5988690000.0,,1915927000.0,248750000.0,603496000.0,74508172000.0,-61041423000.0,463503751000.0,4141248000.0,-46865000.0,,,467598134000.0,503456000.0,444830239000.0,,,,445333695000.0,22264439000.0,0.0,,,92040000000.0,,92040000000.0,54190000000.0,4360801000.0,,,58550801000.0,33489199000.0,-271483000.0,-5559268000.0,36128156000.0,30568888000.0,2020q3
215699,002142.XSHE,2020-12-31,2021-04-10,2020-12-31,,26526998000.0,44864130000.0,,,,,,15289766000.0,26217638000.0,,,1209422000.0,114860301000.0,,29277407000.0,-3242669000.0,,6602100000.0,,1899347000.0,2582899000.0,-1645421000.0,91926073000.0,22934228000.0,1079175408000.0,8542688000.0,80980000.0,,,1087799076000.0,744969000.0,1081973625000.0,,,,1082718594000.0,5080482000.0,453000.0,,,112711000000.0,,112711453000.0,134180000000.0,476688000.0,,,134656688000.0,-21945235000.0,-191611000.0,5877864000.0,30568888000.0,36447000000.0,2020q4
217508,002142.XSHE,2021-03-31,2021-04-24,2021-03-31,,75729000000.0,,,,,,,14616000000.0,,,,4250000000.0,117561000000.0,,48930000000.0,154000000.0,,6482000000.0,,4968000000.0,354000000.0,8716000000.0,109703000000.0,7858000000.0,337082000000.0,2707000000.0,72000000.0,,,339861000000.0,337000000.0,356174000000.0,,,,356511000000.0,-16650000000.0,,,,101330000000.0,,101330000000.0,98610000000.0,1772000000.0,,,100573000000.0,757000000.0,14000000.0,-8021000000.0,36447000000.0,28426000000.0,2021q1
223488,002142.XSHE,2021-06-30,2021-08-14,2021-06-30,,21040000000.0,,,,,,,15084000000.0,,,,2937000000.0,51833000000.0,,59336000000.0,4585000000.0,,6026000000.0,,1992000000.0,1405000000.0,1955000000.0,53359000000.0,-1526000000.0,331787000000.0,4725000000.0,-23000000.0,,,336489000000.0,560000000.0,389051000000.0,,,,389611000000.0,-53122000000.0,,,,158893000000.0,,158893000000.0,96163000000.0,2350000000.0,,,98760000000.0,60133000000.0,-153000000.0,5332000000.0,28426000000.0,33758000000.0,2021q2
