id,code,statDate,pubDate,statDate.1,cash_equivalents,settlement_provi,lend_capital,trading_assets,bill_receivable,account_receivable,advance_payment,insurance_receivables,reinsurance_receivables,reinsurance_contract_reserves_receivable,interest_receivable,dividend_receivable,other_receivable,bought_sellback_assets,inventories,non_current_asset_in_one_year,other_current_assets,total_current_assets,loan_and_advance,hold_for_sale_assets,hold_to_maturity_investments,longterm_receivable_account,longterm_equity_invest,investment_property,fixed_assets,constru_in_process,construction_materials,fixed_assets_liquidation,biological_assets,oil_gas_assets,intangible_assets,development_expenditure,good_will,long_deferred_expense,deferred_tax_assets,other_non_current_assets,total_non_current_assets,total_assets,shortterm_loan,borrowing_from_centralbank,deposit_in_interbank,borrowing_capital,trading_liability,notes_payable,accounts_payable,advance_peceipts,sold_buyback_secu_proceeds,commission_payable,salaries_payable,taxs_payable,interest_payable,dividend_payable,other_payable,reinsurance_payables,insurance_contract_reserves,proxy_secu_proceeds,receivings_from_vicariously_sold_securities,non_current_liability_in_one_year,other_current_liability,total_current_liability,longterm_loan,bonds_payable,longterm_account_payable,specific_account_payable,estimate_liability,deferred_tax_liability,other_non_current_liability,total_non_current_liability,total_liability,paidin_capital,capital_reserve_fund,treasury_stock,specific_reserves,surplus_reserve_fund,ordinary_risk_reserve_fund,retained_profit,foreign_currency_report_conv_diff,equities_parent_company_owners,minority_interests,total_owner_equities,total_sheet_owner_equities,other_comprehensive_income,deferred_earning,loan_and_advance_current_assets,derivative_financial_asset,hold_sale_asset,loan_and_advance_noncurrent_assets,derivative_financial_liability,hold_sale_liability,estimate_liability_current,deferred_earning_current,preferred_shares_noncurrent,pepertual_liability_noncurrent,longterm_salaries_payable,other_equity_tools,preferred_shares_equity,pepertual_liability_equity,receivable_fin,usufruct_assets,contract_assets,bond_invest,other_bond_invest,other_equity_tools_invest,other_non_current_financial_assets,contract_liability,lease_liability,requested_period
96519,002142.XSHE,2016-09-30,2016-10-22,2016-09-30,94520266000.0,,5652010000.0,10725549000.0,,,,,,0.0,2925617000.0,,,6598800000.0,,,,,,293768856000.0,36883261000.0,,,16559000.0,3342902000.0,1933442000.0,,,,,206180000.0,,,,1141030000.0,,,837689314000.0,0.0,1000000000.0,548478779000.0,28004080000.0,11919474000.0,,,,53915363000.0,,1618492000.0,1119684000.0,6637687000.0,,,,0.0,,,,,,,120486866000.0,,,,12000.0,,,787324143000.0,3899794000.0,9948236000.0,,,3181124000.0,6580272000.0,19842918000.0,,50259081000.0,106090000.0,50365171000.0,837689314000.0,1982046000.0,,,4767604000.0,,,3918912000.0,,,,,,,4824691000.0,4824691000.0,,,,,,,,,,,2016q3
104684,002142.XSHE,2016-12-31,2017-04-28,2016-12-31,110404639000.0,,6702519000.0,8276310000.0,,,,,,0.0,3963301000.0,,,19731604000.0,,,,,,280551719000.0,39370701000.0,,,16598000.0,3517820000.0,2241204000.0,,,,,287903000.0,,,,1166125000.0,,,885020411000.0,0.0,26000000000.0,555989048000.0,34832834000.0,6230918000.0,,,,62451215000.0,,1863053000.0,1260189000.0,7160302000.0,,,,0.0,,,,,,,112984659000.0,,,,,,,834634298000.0,3899794000.0,9948236000.0,,,3946749000.0,6686969000.0,20214536000.0,,50278002000.0,108111000.0,50386113000.0,885020411000.0,757027000.0,,,13939542000.0,,,12164267000.0,,,,,,,4824691000.0,,,,,,,,,,,,2016q4
104529,002142.XSHE,2017-03-31,2017-04-28,2017-03-31,104729606000.0,,5122132000.0,62150297000.0,,,,,,0.0,4104499000.0,,,11399500000.0,,,,,,259824576000.0,41118397000.0,,,16598000.0,3458389000.0,2380154000.0,,,,,272460000.0,,,,1795667000.0,,,919582710000.0,0.0,27500000000.0,575810525000.0,46741367000.0,4247464000.0,,,,48181162000.0,,692467000.0,1543528000.0,7955958000.0,,,,0.0,,,,,,,137022190000.0,,,,0.0,,,867874114000.0,3899794000.0,9949842000.0,,,3946749000.0,6688230000.0,22572490000.0,,51610937000.0,97659000.0,51708596000.0,919582710000.0,-270859000.0,,,10517055000.0,,,9018985000.0,,,,,,,4824691000.0,,,,,,,,,,,,2017q1
106241,002142.XSHE,2017-06-30,2017-08-18,2017-06-30,116607445000.0,,1482831000.0,102973601000.0,,,,,,0.0,3716199000.0,,,2980480000.0,,,,,,225665853000.0,43734643000.0,,,16598000.0,3395716000.0,2457158000.0,,,,,254825000.0,,,,2757294000.0,,,938528522000.0,0.0,11500000000.0,588072831000.0,59983214000.0,1150032000.0,,,,30778327000.0,,1027881000.0,1851346000.0,7918780000.0,,,,0.0,,,,,,,162159228000.0,,,,,,,885146934000.0,3899794000.0,9949846000.0,,,3946749000.0,7848236000.0,23818759000.0,,53277953000.0,103635000.0,53381588000.0,938528522000.0,-1010122000.0,,,13338496000.0,,,14040984000.0,,,,,,,4824691000.0,,,,,,,,,,,,2017q2
110146,002142.XSHE,2017-09-30,2017-10-27,2017-09-30,101897105000.0,,1660465000.0,96604739000.0,,,,,,0.0,3712654000.0,,,10761361000.0,,,,,,236278578000.0,49355563000.0,,,52479000.0,4706354000.0,1380237000.0,,,,,237692000.0,,,,3516106000.0,,,953064434000.0,0.0,11500000000.0,588078652000.0,59353502000.0,2038290000.0,,,,28010499000.0,,1546876000.0,2158048000.0,8277295000.0,,,,0.0,,,,,,,163285416000.0,,,,0.0,,,899027936000.0,5069732000.0,8779908000.0,,,3946749000.0,7851335000.0,25053106000.0,,53925816000.0,110682000.0,54036498000.0,953064434000.0,-1599705000.0,,,22975364000.0,,,25007532000.0,,,,,,,4824691000.0,,,,,,,,,,,,2017q3
116454,002142.XSHE,2017-12-31,2018-03-29,2017-12-31,119744513000.0,,2045994000.0,146481901000.0,,,,,,0.0,4156455000.0,,,1096968000.0,,,,,,218842775000.0,60782788000.0,,,46726000.0,4810959000.0,1278052000.0,,,,,342963000.0,,,,4651064000.0,,,1032042442000.0,0.0,2500000000.0,592546339000.0,94606096000.0,5430875000.0,,,,45988790000.0,,1996109000.0,3035863000.0,8375889000.0,,,,0.0,,,,,,,171499442000.0,,,,0.0,,,974836470000.0,5069732000.0,8779906000.0,,,4857149000.0,7858597000.0,25878052000.0,,57089245000.0,116727000.0,57205972000.0,1032042442000.0,-2074136000.0,,,31333752000.0,,,35168918000.0,,,,,,,6719945000.0,,,,,,,,,,,,2017q4
122878,002142.XSHE,2018-03-31,2018-04-28,2018-03-31,111030136000.0,,1228325000.0,107861912000.0,,,,,,0.0,5190037000.0,,,21976224000.0,,,,,,239148351000.0,61675378000.0,,,46786000.0,4475181000.0,1707130000.0,,,,,320315000.0,,,,5044772000.0,,,1068649396000.0,0.0,,650924985000.0,93851972000.0,10953831000.0,,,,16477181000.0,,884144000.0,3264427000.0,8786148000.0,,,,0.0,,,,,,,165519957000.0,,,,0.0,,,1007912885000.0,5069732000.0,8779906000.0,,,4857149000.0,7867129000.0,28691422000.0,,60410829000.0,325682000.0,60736511000.0,1068649396000.0,-1574454000.0,,,46695961000.0,,,51916936000.0,,,,,,,6719945000.0,,,,,,,,,,,,2018q1
124987,002142.XSHE,2018-06-30,2018-08-22,2018-06-30,99007459000.0,,2784822000.0,111838634000.0,,,,,,0.0,5578838000.0,,,23684364000.0,,,,,,239147896000.0,66674688000.0,,,44025000.0,4482938000.0,1659614000.0,,,,,304527000.0,,,,4415247000.0,,,1076418193000.0,0.0,6500000000.0,654082198000.0,54416251000.0,5686958000.0,,,,32397662000.0,,1364975000.0,836917000.0,8654531000.0,,,,0.0,,,,,,,208793679000.0,,,,,,,1011788587000.0,5069740000.0,8780042000.0,,,4857149000.0,9109262000.0,30328683000.0,,64294254000.0,335352000.0,64629606000.0,1076418193000.0,-570540000.0,,,28273521000.0,,,29916156000.0,,,,,,,6719918000.0,,,,,,,,,,,,2018q2
129553,002142.XSHE,2018-09-30,2018-10-30,2018-09-30,98604523000.0,,12243662000.0,102515134000.0,,,,,,0.0,5716497000.0,,,4626958000.0,,,,,,231281605000.0,70334909000.0,,,44025000.0,4580519000.0,1743806000.0,,,,,335776000.0,,,,4289389000.0,,,1086163039000.0,0.0,15500000000.0,653616440000.0,26965900000.0,7963755000.0,,,,49095141000.0,,1760366000.0,1246406000.0,9749681000.0,,,,0.0,,,,,,,208622467000.0,,,,0.0,,,1018220395000.0,5208554000.0,11219173000.0,,,4857149000.0,9121270000.0,31511321000.0,,67599610000.0,343034000.0,67942644000.0,1086163039000.0,-563955000.0,,,34130879000.0,,,34223403000.0,,,,,,,6246098000.0,,,,,,,,,,,,2018q3
132069,002142.XSHE,2018-12-31,2019-03-30,2018-12-31,97709367000.0,,2417760000.0,134766743000.0,,,,,,0.0,6071662000.0,,,3703483000.0,,,,,,221033846000.0,70118200000.0,,,39240000.0,5185166000.0,1184628000.0,,,,,346996000.0,,,,3668448000.0,,,1116423355000.0,0.0,15500000000.0,667936348000.0,53943803000.0,11856092000.0,,,,26930116000.0,,2248180000.0,740442000.0,10287788000.0,,,,0.0,,,,,,,208437348000.0,,,,,,,1035193487000.0,5208555000.0,11219205000.0,,,5942864000.0,9138300000.0,32447993000.0,,80879211000.0,350657000.0,81229868000.0,1116423355000.0,689316000.0,,,30257173000.0,,,27564862000.0,,,,,,,16232978000.0,14811578000.0,1421400000.0,,,,,,,,,,2018q4
