date,line,nav
2022-08-11,benchmark,0.9102
2022-08-12,benchmark,0.9151
2022-08-15,benchmark,0.8984
2022-08-16,benchmark,0.8982
2022-08-17,benchmark,0.9081
2022-08-18,benchmark,0.893
2022-08-19,benchmark,0.8905000000000001
2022-08-22,benchmark,0.8902
2022-08-23,benchmark,0.8784
2022-08-24,benchmark,0.8771
2022-08-25,benchmark,0.8941
2022-08-26,benchmark,0.8998
2022-08-29,benchmark,0.8965
2022-08-30,benchmark,0.9022
2022-08-31,benchmark,0.917
2022-09-01,benchmark,0.9112
2022-09-02,benchmark,0.9086
2022-09-05,benchmark,0.9138
2022-09-06,benchmark,0.909
2022-09-07,benchmark,0.9053
2022-09-08,benchmark,0.9152
2022-09-09,benchmark,0.9347
2022-09-13,benchmark,0.941
2022-09-14,benchmark,0.9343
2022-09-15,benchmark,0.9429
2022-09-16,benchmark,0.9253
2022-09-19,benchmark,0.9285
2022-09-20,benchmark,0.9172
2022-09-21,benchmark,0.9216
2022-09-22,benchmark,0.9196
2022-09-23,benchmark,0.9234
2022-09-26,benchmark,0.9053
2022-09-27,benchmark,0.9134
2022-09-28,benchmark,0.9156
2022-09-29,benchmark,0.9092
2022-09-30,benchmark,0.9126
2022-10-10,benchmark,0.8952
2022-10-11,benchmark,0.8893
2022-10-12,benchmark,0.8962
2022-10-13,benchmark,0.8764000000000001
2022-10-14,benchmark,0.8862
2022-10-17,benchmark,0.8854
2022-10-18,benchmark,0.8845
2022-10-19,benchmark,0.8724000000000001
2022-10-20,benchmark,0.8678
2022-10-21,benchmark,0.8638
2022-10-24,benchmark,0.8338
2022-10-25,benchmark,0.8273
2022-10-26,benchmark,0.8152
2022-10-27,benchmark,0.8126
2022-10-28,benchmark,0.811
2022-10-31,benchmark,0.7887
2022-11-01,benchmark,0.7993
2022-11-02,benchmark,0.7983
2022-11-03,benchmark,0.7889999999999999
2022-11-04,benchmark,0.8063
2022-11-07,benchmark,0.8049999999999999
2022-11-08,benchmark,0.8034
2022-11-09,benchmark,0.8039000000000001
2022-11-10,benchmark,0.8052
2022-11-11,benchmark,0.8432
2022-11-14,benchmark,0.8625
2022-11-15,benchmark,0.865
2022-11-16,benchmark,0.8567
2022-11-17,benchmark,0.8537
2022-11-18,benchmark,0.8482000000000001
2022-11-21,benchmark,0.847
2022-11-22,benchmark,0.8647
2022-11-23,benchmark,0.8637
2022-11-24,benchmark,0.8607
2022-11-25,benchmark,0.883
2022-11-28,benchmark,0.8654
2022-11-29,benchmark,0.9093
2022-11-30,benchmark,0.9033
2022-12-01,benchmark,0.8945
2022-12-02,benchmark,0.8847
2022-12-05,benchmark,0.9127
2022-12-06,benchmark,0.9117999999999999
2022-12-07,benchmark,0.8968
2022-12-08,benchmark,0.9049
2022-12-09,benchmark,0.922
2022-12-12,benchmark,0.8989
2022-12-13,benchmark,0.9065
2022-12-14,benchmark,0.9121
2022-12-15,benchmark,0.8967
2022-12-16,benchmark,0.9071
2022-12-19,benchmark,0.8933
2022-12-20,benchmark,0.8801
2022-12-21,benchmark,0.8866
2022-12-22,benchmark,0.8871
2022-12-23,benchmark,0.8815
2022-12-26,benchmark,0.8802
2022-12-27,benchmark,0.8998
2022-12-28,benchmark,0.9124
2022-12-29,benchmark,0.909
2022-12-30,benchmark,0.9164
2023-01-03,benchmark,0.9185
2023-01-04,benchmark,0.9381
2023-01-05,benchmark,0.9341
2023-01-06,benchmark,0.9309000000000001
2023-01-09,benchmark,0.9333
2023-01-10,benchmark,0.9231
2023-01-11,benchmark,0.9336
2023-01-12,benchmark,0.9342
2023-01-13,benchmark,0.9414
2023-01-16,benchmark,0.9396
2023-01-17,benchmark,0.9379
2023-01-18,benchmark,0.9387
2023-01-19,benchmark,0.9339999999999999
2023-01-20,benchmark,0.9388
2023-01-30,benchmark,0.9418
2023-01-31,benchmark,0.9305
2023-02-01,benchmark,0.9261
2023-02-02,benchmark,0.9187
2023-02-03,benchmark,0.9087
2023-02-06,benchmark,0.8991
2023-02-07,benchmark,0.9031
2023-02-08,benchmark,0.9002
2023-02-09,benchmark,0.8991
2023-02-10,benchmark,0.8971
2023-02-13,benchmark,0.8897
