id,company_id,company_name,code,a_code,b_code,h_code,pub_date,start_date,end_date,report_date,report_type,source_id,source,operating_revenue,interest_net_revenue,interest_income,interest_expense,commission_net_income,commission_income,commission_expense,agent_security_income,sell_security_income,manage_income,premiums_earned,assurance_income,premiums_income,premiums_expense,prepare_money,investment_income,invest_income_associates,fair_value_variable_income,exchange_income,other_income,operation_expense,refunded_premiums,compensate_loss,compensation_back,insurance_reserve,insurance_reserve_back,policy_dividend_payout,reinsurance_cost,operating_tax_surcharges,commission_expense2,operation_manage_fee,separate_fee,asset_impairment_loss,other_cost,operating_profit,subsidy_income,non_operating_revenue,non_operating_expense,other_items_influenced_profit,total_profit,income_tax_expense,other_influence_net_profit,net_profit,np_parent_company_owners,minority_profit,eps,basic_eps,diluted_eps,other_composite_income,total_composite_income,ci_parent_company_owners,ci_minority_owners,other_earnings,asset_deal_income,sust_operate_net_profit,discon_operate_net_profit,credit_impairment_loss
13880,300010207,上海银行股份有限公司,601229.XSHG,601229,,,2022-04-22,2021-01-01,2021-12-31,2021-12-31,0,321003,定期报告,56229904000.0,40437503000.0,93017393000.0,52579890000.0,9047039000.0,9582417000.0,535378000.0,,,,,,,,,7579868000.0,,-662686000.0,-316822000.0,62737000.0,32671895000.0,,,,,,,,605199000.0,,12098439000.0,,,1875000.0,23558009000.0,,79156000.0,82567000.0,,23554598000.0,1474230000.0,,22080368000.0,22042452000.0,37916000.0,,1.48,1.35,-880684000.0,21199684000.0,21160989000.0,38695000.0,69638000.0,12627000.0,22080368000.0,,19966382000.0
14019,300010207,上海银行股份有限公司,601229.XSHG,601229,,,2022-04-29,2022-01-01,2022-03-31,2022-03-31,0,321003,定期报告,14228686000.0,10234123000.0,23773305000.0,13539182000.0,2026157000.0,2130245000.0,104088000.0,,,,,,,,,2109567000.0,,-227995000.0,63440000.0,13495000.0,8037615000.0,,,,,,,,157834000.0,,2565752000.0,,,86000.0,6191071000.0,,19932000.0,2363000.0,,6208640000.0,347086000.0,,5861554000.0,5853179000.0,8375000.0,,0.41,0.37,70656000.0,5932210000.0,5923835000.0,8375000.0,9930000.0,-31000.0,5861554000.0,,5313943000.0
14314,300010207,上海银行股份有限公司,601229.XSHG,601229,,,2022-08-26,2022-01-01,2022-06-30,2022-06-30,0,321003,定期报告,27941662000.0,20229354000.0,47139179000.0,26909825000.0,3491540000.0,3701422000.0,209882000.0,,,,,,,,,4035116000.0,,-301513000.0,442492000.0,18453000.0,14295113000.0,,,,,,,,267975000.0,,5237758000.0,,,120000.0,13646549000.0,,28305000.0,20672000.0,,13654182000.0,960626000.0,,12693556000.0,12674306000.0,19250000.0,,0.89,0.8,-597939000.0,12095617000.0,12076367000.0,19250000.0,26376000.0,-156000.0,12693556000.0,,8789260000.0
14491,300010207,上海银行股份有限公司,601229.XSHG,601229,,,2022-10-27,2022-01-01,2022-09-30,2022-09-30,0,321003,定期报告,41673295000.0,29379544000.0,69827220000.0,40447676000.0,5112258000.0,5450286000.0,338028000.0,,,,,,,,,5895530000.0,,166349000.0,899952000.0,37778000.0,23238448000.0,,,,,,,,404717000.0,,8410331000.0,,,219000.0,18434847000.0,,36273000.0,29018000.0,,18442102000.0,1248708000.0,,17193394000.0,17166972000.0,26422000.0,,1.21,1.09,-105513000.0,17087881000.0,17061459000.0,26422000.0,182429000.0,-545000.0,17193394000.0,,14423181000.0
15158,300010207,上海银行股份有限公司,601229.XSHG,601229,,,2023-04-28,2023-01-01,2023-03-31,2023-03-31,0,321003,定期报告,13214928000.0,9035047000.0,23441443000.0,14406396000.0,1708073000.0,1819680000.0,111607000.0,,,,,,,,,501725000.0,,1836136000.0,-111350000.0,14334000.0,6374737000.0,,,,,,,,165714000.0,,2747667000.0,,,816000.0,6840191000.0,,11755000.0,2656000.0,,6849290000.0,795631000.0,,6053659000.0,6043234000.0,10425000.0,,0.43,0.38,-793713000.0,5259946000.0,5249521000.0,10425000.0,216757000.0,14206000.0,6053659000.0,,3460540000.0
15182,300010207,上海银行股份有限公司,601229.XSHG,601229,,,2023-04-28,2022-01-01,2022-12-31,2022-12-31,0,321003,定期报告,53112478000.0,38000189000.0,92395282000.0,54395093000.0,6492935000.0,6961652000.0,468717000.0,,,,,,,,,7456579000.0,,-162182000.0,907901000.0,51910000.0,29087219000.0,,,,,,,,563981000.0,,12226455000.0,,,294000.0,24025259000.0,,69609000.0,50575000.0,,24044293000.0,1726365000.0,,22317928000.0,22280215000.0,37713000.0,,1.5,1.35,293168000.0,22611096000.0,22572810000.0,38286000.0,353287000.0,11859000.0,22317928000.0,,16296489000.0
15358,300010207,上海银行股份有限公司,601229.XSHG,601229,,,2023-08-26,2023-01-01,2023-06-30,2023-06-30,0,321003,定期报告,26360045000.0,18129786000.0,47480710000.0,29350924000.0,2865225000.0,3072689000.0,207464000.0,,,,,,,,,2035075000.0,,2765751000.0,130253000.0,21737000.0,11572128000.0,,,,,,,,326704000.0,,5799038000.0,,158000.0,859000.0,14787917000.0,,26161000.0,117171000.0,,14696907000.0,1842017000.0,,12854890000.0,12834970000.0,19920000.0,,0.9,0.81,171421000.0,13026311000.0,13006391000.0,19920000.0,398654000.0,13564000.0,12854890000.0,,5445369000.0
15559,300010207,上海银行股份有限公司,601229.XSHG,601229,,,2023-10-27,2023-01-01,2023-09-30,2023-09-30,0,321003,定期报告,39273012000.0,27245800000.0,71212618000.0,43966818000.0,3917387000.0,4274989000.0,357602000.0,,,,,,,,,4420941000.0,,3281785000.0,-174903000.0,32998000.0,19544154000.0,,,,,,,,491888000.0,,9030883000.0,,158000.0,903000.0,19728858000.0,,38452000.0,129924000.0,,19637386000.0,2267614000.0,,17369772000.0,17344562000.0,25210000.0,,1.22,1.09,-531988000.0,16837784000.0,16812574000.0,25210000.0,518846000.0,30158000.0,17369772000.0,,10020322000.0
15915,300010207,上海银行股份有限公司,601229.XSHG,601229,,,2024-04-26,2024-01-01,2024-03-31,2024-03-31,0,321003,定期报告,13093548000.0,7953619000.0,23288878000.0,15335259000.0,1239956000.0,1374108000.0,134152000.0,,,,,,,,,2992808000.0,,913959000.0,-114031000.0,11188000.0,5825264000.0,,,,,,,,156627000.0,,2994488000.0,,,68000.0,7268284000.0,,18365000.0,34514000.0,,7252135000.0,1099916000.0,,6152219000.0,6150324000.0,1895000.0,,0.43,0.39,484420000.0,6636639000.0,6634744000.0,1895000.0,96916000.0,-867000.0,6152219000.0,,2674081000.0
15924,300010207,上海银行股份有限公司,601229.XSHG,601229,,,2024-04-26,2023-01-01,2023-12-31,2023-12-31,0,321003,定期报告,50564474000.0,35164078000.0,94718882000.0,59554804000.0,4915199000.0,5428631000.0,513432000.0,,,,,,,,,6771716000.0,,3519298000.0,-506477000.0,52424000.0,24534970000.0,,,,,,,,653717000.0,,12446006000.0,,158000.0,977000.0,26029504000.0,,62485000.0,194899000.0,,25897090000.0,3324846000.0,,22572244000.0,22544789000.0,27455000.0,,1.53,1.37,1472058000.0,24044302000.0,24016847000.0,27455000.0,620958000.0,27278000.0,22572244000.0,,11434112000.0
16277,300010207,上海银行股份有限公司,601229.XSHG,601229,,,2024-08-29,2024-01-01,2024-06-30,2024-06-30,0,321003,定期报告,26247066000.0,16175052000.0,46517661000.0,30342609000.0,2190626000.0,2435838000.0,245212000.0,,,,,,,,,7965381000.0,,4718000.0,-295795000.0,18586000.0,10909240000.0,,,,,,,,315426000.0,,6047262000.0,,2000.0,126000.0,15337826000.0,,30282000.0,47603000.0,,15320505000.0,2352625000.0,,12967880000.0,12968729000.0,-849000.0,,0.91,0.82,731727000.0,13699607000.0,13700456000.0,-849000.0,180741000.0,7757000.0,12967880000.0,,4546424000.0
16581,300010207,上海银行股份有限公司,601229.XSHG,601229,,,2024-10-31,2024-01-01,2024-09-30,2024-09-30,0,321003,定期报告,39541807000.0,24988152000.0,69865037000.0,44876885000.0,3106009000.0,3496382000.0,390373000.0,,,,,,,,,10584386000.0,,1110700000.0,-569659000.0,48036000.0,18980282000.0,,,,,,,,479120000.0,,9263704000.0,,55000.0,168000.0,20561525000.0,,50505000.0,59215000.0,,20552815000.0,2961586000.0,,17591229000.0,17586981000.0,4248000.0,,1.24,1.11,1004506000.0,18595735000.0,18591487000.0,4248000.0,266432000.0,7751000.0,17591229000.0,,9237235000.0
16872,300010207,上海银行股份有限公司,601229.XSHG,601229,,,2025-04-25,2024-01-01,2024-12-31,2024-12-31,0,321003,定期报告,52985550000.0,32486088000.0,91228726000.0,58742638000.0,3958816000.0,4515928000.0,557112000.0,,,,,,,,,13165645000.0,105224000.0,3702153000.0,-737147000.0,67886000.0,25683183000.0,,,,,,,,614610000.0,,12621701000.0,,55000.0,211000.0,27302367000.0,,73453000.0,355318000.0,,27020502000.0,3460054000.0,,23560448000.0,23559890000.0,558000.0,,1.6,1.44,3371188000.0,26931636000.0,26931078000.0,558000.0,299215000.0,42894000.0,23560448000.0,,12446606000.0
16890,300010207,上海银行股份有限公司,601229.XSHG,601229,,,2025-04-25,2025-01-01,2025-03-31,2025-03-31,0,321003,定期报告,13597149000.0,8323823000.0,21128379000.0,12804556000.0,1138556000.0,1255553000.0,116997000.0,,,,,,,,,6546488000.0,26147000.0,-2248308000.0,-234394000.0,10619000.0,6239419000.0,,,,,,,,153759000.0,,2905015000.0,,,43000.0,7357730000.0,,12969000.0,8812000.0,,7361887000.0,1069875000.0,,6292012000.0,6292061000.0,-49000.0,,0.44,0.39,-1760761000.0,4531251000.0,4531300000.0,-49000.0,60329000.0,36000.0,6292012000.0,,3180602000.0
17291,300010207,上海银行股份有限公司,601229.XSHG,601229,,,2025-08-29,2025-01-01,2025-06-30,2025-06-30,0,321003,定期报告,27343871000.0,16452739000.0,41399621000.0,24946882000.0,2059983000.0,2298583000.0,238600000.0,,,,,,,,,10703161000.0,54927000.0,-1599383000.0,-376958000.0,23916000.0,11319796000.0,,,,,,,,316863000.0,,6011985000.0,,,78000.0,16024075000.0,,17434000.0,76853000.0,,15964656000.0,2735126000.0,,13229530000.0,13230678000.0,-1148000.0,,0.93,0.82,-832429000.0,12397101000.0,12398249000.0,-1148000.0,80370000.0,43000.0,13229530000.0,,4990870000.0
17511,300010207,上海银行股份有限公司,601229.XSHG,601229,,,2025-10-31,2025-01-01,2025-09-30,2025-09-30,0,321003,定期报告,41140492000.0,25122157000.0,61561099000.0,36438942000.0,2890668000.0,3252191000.0,361523000.0,,,,,,,,,16774897000.0,92039000.0,-3264584000.0,-525970000.0,41985000.0,19966116000.0,,,,,,,,480675000.0,,9220421000.0,,,117000.0,21174376000.0,,19547000.0,117951000.0,,21075972000.0,3017167000.0,,18058805000.0,18075000000.0,-16195000.0,,1.27,1.13,-4713317000.0,13345488000.0,13361683000.0,-16195000.0,101310000.0,29000.0,18058805000.0,,10264903000.0
17870,300010207,上海银行股份有限公司,601229.XSHG,601229,,,2026-04-24,2025-01-01,2025-12-31,2025-12-31,0,321003,定期报告,54761019000.0,33344162000.0,80996539000.0,47652377000.0,3707007000.0,4214180000.0,507173000.0,,,,,,,,,20807899000.0,122232000.0,-2560859000.0,-746817000.0,72861000.0,26367236000.0,,,,,,,,646945000.0,,12765248000.0,,,4484000.0,28393783000.0,,63151000.0,173406000.0,,28283528000.0,4111321000.0,,24172207000.0,24193414000.0,-21207000.0,,1.65,1.46,-4015926000.0,20156281000.0,20177488000.0,-21207000.0,100719000.0,36047000.0,24172207000.0,,12950559000.0
17881,300010207,上海银行股份有限公司,601229.XSHG,601229,,,2026-04-24,2026-01-01,2026-03-31,2026-03-31,0,321003,定期报告,14175085000.0,8746604000.0,19554754000.0,10808150000.0,945267000.0,1061163000.0,115896000.0,,,,,,,,,5532939000.0,25785000.0,-826740000.0,-255058000.0,15556000.0,6454562000.0,,,,,,,,168952000.0,,2973694000.0,,,92000.0,7720523000.0,,3312000.0,8672000.0,,7715163000.0,1387431000.0,,6327732000.0,6333618000.0,-5886000.0,,0.45,0.39,490263000.0,6817995000.0,6823881000.0,-5886000.0,16607000.0,-90000.0,6327732000.0,,3311824000.0
