fold_id,strategy_group,rebalance_date,validation_start,validation_end,portfolio_return,cash_weight,invested_weight,source_family
fold_02,blend_60_40,2019-11-01 00:00:00,2019-09-02,2020-09-01,-0.0009460834,0.067692,0.932308,dual_engine_common_sample
fold_02,blend_60_40,2020-05-06 00:00:00,2019-09-02,2020-09-01,0.0013568957,0.06,0.94,dual_engine_common_sample
fold_02,blend_60_40,2020-09-01 00:00:00,2019-09-02,2020-09-01,6.08806e-05,0.063333,0.936667,dual_engine_common_sample
fold_01,fundamental_only,2018-11-01 00:00:00,2018-11-01,2019-11-01,0.00017026,0.4,0.6,dual_engine_common_sample
fold_01,fundamental_only,2019-05-06 00:00:00,2018-11-01,2019-11-01,-9.81861e-05,0.35,0.65,dual_engine_common_sample
fold_01,fundamental_only,2019-09-02 00:00:00,2018-11-01,2019-11-01,0.0015754096,0.35,0.65,dual_engine_common_sample
fold_01,fundamental_only,2019-11-01 00:00:00,2018-11-01,2019-11-01,-0.0006859661,0.3,0.7,dual_engine_common_sample
fold_02,fundamental_only,2019-09-02 00:00:00,2019-09-02,2020-09-01,0.0015754096,0.35,0.65,dual_engine_common_sample
fold_02,fundamental_only,2019-11-01 00:00:00,2019-09-02,2020-09-01,-0.0006859661,0.3,0.7,dual_engine_common_sample
fold_02,fundamental_only,2020-05-06 00:00:00,2019-09-02,2020-09-01,0.0010089349,0.25,0.75,dual_engine_common_sample
fold_02,fundamental_only,2020-09-01 00:00:00,2019-09-02,2020-09-01,-9.24601e-05,0.25,0.75,dual_engine_common_sample
fold_01,momentum_only,2018-11-01 00:00:00,2018-11-01,2019-11-01,0.00017026,0.4,0.6,dual_engine_common_sample
fold_01,momentum_only,2019-05-06 00:00:00,2018-11-01,2019-11-01,-9.81861e-05,0.35,0.65,dual_engine_common_sample
fold_01,momentum_only,2019-09-02 00:00:00,2018-11-01,2019-11-01,0.0015754096,0.35,0.65,dual_engine_common_sample
fold_01,momentum_only,2019-11-01 00:00:00,2018-11-01,2019-11-01,-0.0006859661,0.3,0.7,dual_engine_common_sample
fold_02,momentum_only,2019-09-02 00:00:00,2019-09-02,2020-09-01,0.0015754096,0.35,0.65,dual_engine_common_sample
fold_02,momentum_only,2019-11-01 00:00:00,2019-09-02,2020-09-01,-0.0006859661,0.3,0.7,dual_engine_common_sample
fold_02,momentum_only,2020-05-06 00:00:00,2019-09-02,2020-09-01,0.0010089349,0.25,0.75,dual_engine_common_sample
fold_02,momentum_only,2020-09-01 00:00:00,2019-09-02,2020-09-01,-9.24601e-05,0.25,0.75,dual_engine_common_sample
