code,statement_family,missing_reason,row_count
600036.XSHG,bank_indicator,provider_unavailable_annual_bank_indicator,159
600036.XSHG,bank_indicator,missing_raw_value,96
600908.XSHG,income,,495
600908.XSHG,income,outside_current_available_window,42
600908.XSHG,income,missing_raw_value,37
600908.XSHG,cash_flow,,1065
600908.XSHG,cash_flow,missing_raw_value,327
600908.XSHG,cash_flow,outside_current_available_window,111
600908.XSHG,cash_flow,missing_prior_cumulative_report,14
600908.XSHG,indicator,,1026
600908.XSHG,indicator,missing_raw_value,152
600908.XSHG,indicator,outside_current_available_window,93
600908.XSHG,balance,missing_raw_value,1298
600908.XSHG,balance,,1248
600908.XSHG,balance,outside_current_available_window,201
600908.XSHG,parent_balance,,1089
600908.XSHG,parent_balance,missing_raw_value,711
600908.XSHG,parent_balance,outside_current_available_window,150
600908.XSHG,parent_balance,missing_target_report,100
600908.XSHG,bank_indicator,,325
600908.XSHG,bank_indicator,provider_unavailable_annual_bank_indicator,159
600908.XSHG,bank_indicator,missing_raw_value,99
600919.XSHG,income,,498
600919.XSHG,income,outside_current_available_window,42
600919.XSHG,income,missing_raw_value,33
600919.XSHG,income,missing_prior_cumulative_report,1
600919.XSHG,cash_flow,,1038
600919.XSHG,cash_flow,missing_raw_value,349
600919.XSHG,cash_flow,outside_current_available_window,111
600919.XSHG,cash_flow,missing_prior_cumulative_report,19
600919.XSHG,indicator,,1026
600919.XSHG,indicator,missing_raw_value,152
600919.XSHG,indicator,outside_current_available_window,93
600919.XSHG,balance,missing_raw_value,1394
600919.XSHG,balance,,1152
600919.XSHG,balance,outside_current_available_window,201
600919.XSHG,parent_balance,,844
600919.XSHG,parent_balance,missing_raw_value,656
600919.XSHG,parent_balance,missing_target_report,400
600919.XSHG,parent_balance,outside_current_available_window,150
600919.XSHG,bank_indicator,,295
600919.XSHG,bank_indicator,provider_unavailable_annual_bank_indicator,159
600919.XSHG,bank_indicator,missing_raw_value,129
600926.XSHG,income,,445
600926.XSHG,income,missing_raw_value,71
600926.XSHG,income,outside_current_available_window,42
600926.XSHG,income,missing_prior_cumulative_report,2
600926.XSHG,cash_flow,,1001
600926.XSHG,cash_flow,missing_raw_value,343
600926.XSHG,cash_flow,outside_current_available_window,111
600926.XSHG,cash_flow,missing_prior_cumulative_report,25
600926.XSHG,indicator,,999
600926.XSHG,indicator,missing_raw_value,148
600926.XSHG,indicator,outside_current_available_window,93
600926.XSHG,balance,missing_raw_value,1361
600926.XSHG,balance,,1118
600926.XSHG,balance,outside_current_available_window,201
600926.XSHG,parent_balance,,823
600926.XSHG,parent_balance,missing_raw_value,627
600926.XSHG,parent_balance,missing_target_report,400
600926.XSHG,parent_balance,outside_current_available_window,150
600926.XSHG,bank_indicator,,298
600926.XSHG,bank_indicator,provider_unavailable_annual_bank_indicator,159
600926.XSHG,bank_indicator,missing_raw_value,126
600928.XSHG,income,,364
600928.XSHG,income,outside_current_available_window,42
600928.XSHG,income,missing_raw_value,27
600928.XSHG,income,missing_prior_cumulative_report,1
600928.XSHG,cash_flow,,717
600928.XSHG,cash_flow,missing_raw_value,303
600928.XSHG,cash_flow,outside_current_available_window,111
600928.XSHG,cash_flow,missing_prior_cumulative_report,16
600928.XSHG,indicator,,741
600928.XSHG,indicator,missing_raw_value,127
600928.XSHG,indicator,outside_current_available_window,93
600928.XSHG,balance,missing_raw_value,1012
600928.XSHG,balance,,864
600928.XSHG,balance,outside_current_available_window,201
600928.XSHG,parent_balance,,637
600928.XSHG,parent_balance,missing_raw_value,513
600928.XSHG,parent_balance,missing_target_report,250
600928.XSHG,parent_balance,outside_current_available_window,150
600928.XSHG,bank_indicator,,208
600928.XSHG,bank_indicator,provider_unavailable_annual_bank_indicator,159
600928.XSHG,bank_indicator,missing_raw_value,57
601009.XSHG,income,,651
601009.XSHG,income,outside_current_available_window,42
601009.XSHG,income,missing_raw_value,31
601009.XSHG,income,missing_prior_cumulative_report,4
601009.XSHG,cash_flow,,1338
601009.XSHG,cash_flow,missing_raw_value,454
601009.XSHG,cash_flow,outside_current_available_window,111
